order_item_id,order_id,product_id,quantity,unit_price,discount_percent,transaction_type,quantity_abs,revenue
OI000174,O000704,P00263,2,4365.84,22.7,PURCHASE,2,6749.588640000001
OI000175,O000655,P00499,3,7548.44,24.3,PURCHASE,3,17142.50724
OI000176,O000363,P00409,4,8347.11,17.1,PURCHASE,4,27679.016760000002
OI000177,O000235,P00157,1,12254.79,12.5,PURCHASE,1,10722.94125
OI000178,O000748,P00123,1,1816.6,29.7,PURCHASE,1,1277.0698
OI000179,O000011,P00493,4,27980.0,5.5,PURCHASE,4,105764.4
OI000180,O000694,P00455,5,12223.6,24.7,PURCHASE,5,46021.854
OI000181,O000732,P00218,5,7402.36,29.6,PURCHASE,5,26056.307199999996
OI000182,O000541,P00351,5,13514.7,6.7,PURCHASE,5,63046.075500000006
OI000183,O000231,P00090,1,4086.23,14.1,PURCHASE,1,3510.07157
OI000184,O000175,P00192,1,20403.99,33.3,PURCHASE,1,13609.461330000002
OI000185,O000298,P00154,4,6470.67,29.5,PURCHASE,4,18247.2894
OI000186,O000313,P00476,5,1159.33,18.5,PURCHASE,5,4724.2697499999995
OI000187,O000365,P00004,5,9020.68,4.3,PURCHASE,5,43163.9538
OI000188,O000412,P00182,1,14812.18,3.4,PURCHASE,1,14308.56588
OI000189,O000127,P00468,-4,23106.48,10.0,RETURN,4,-83183.328
OI000190,O000374,P00220,2,8157.5,39.6,PURCHASE,2,9854.26
OI000191,O000144,P00182,-4,26518.93,28.4,RETURN,4,-75950.21552
OI000192,O000137,P00203,4,27039.83,6.4,PURCHASE,4,101237.12352
OI000193,O000682,P00137,1,16548.7,32.0,PURCHASE,1,11253.116
OI000194,O000783,P00400,4,27714.48,33.7,PURCHASE,4,73498.80096000001
OI000195,O000111,P00406,1,10389.2,0.5,PURCHASE,1,10337.254
OI000196,O000351,P00220,5,13086.42,11.6,PURCHASE,5,57841.9764
OI000197,O000254,P00317,2,5687.12,11.2,PURCHASE,2,10100.32512
OI000198,O000718,P00127,4,21223.18,32.4,PURCHASE,4,57387.47871999999
OI000199,O000186,P00097,5,4546.91,4.8,PURCHASE,5,21643.291599999997
OI000200,O000197,P00476,2,18532.37,3.6,PURCHASE,2,35730.40936
OI000201,O000314,P00359,2,12839.67,2.5,PURCHASE,2,25037.356499999998
OI000202,O000113,P00138,3,10595.63,16.7,PURCHASE,3,26478.479369999997
OI000203,O000042,P00001,1,9717.02,11.4,PURCHASE,1,8609.27972
OI000204,O000442,P00095,3,10971.08,12.2,PURCHASE,3,28897.824719999997
OI000205,O000566,P00395,2,22264.63,14.5,PURCHASE,2,38072.5173
OI000206,O000381,P00122,3,11583.08,35.5,PURCHASE,3,22413.2598
OI000207,O000124,P00022,5,26532.84,32.7,PURCHASE,5,89283.00660000001
OI000208,O000102,P00039,5,9114.14,19.0,PURCHASE,5,36912.267
OI000209,O000158,P00023,2,16559.82,10.1,PURCHASE,2,29774.55636
OI000210,O000574,P00500,3,13509.62,28.7,PURCHASE,3,28897.077180000004
OI000211,O000430,P00269,5,5091.36,11.0,PURCHASE,5,22656.552
OI000212,O000580,P00032,2,11985.07,27.4,PURCHASE,2,17402.32164
OI000213,O000170,P00225,5,23403.23,16.0,PURCHASE,5,98293.56599999999
OI000214,O000164,P00293,2,364.95,37.1,PURCHASE,2,459.1071
OI000215,O000738,P00269,3,6688.06,28.3,PURCHASE,3,14386.01706
OI000216,O000047,P00274,2,19224.5,37.7,PURCHASE,2,23953.727
OI000217,O000053,P00329,2,6378.17,4.6,PURCHASE,2,12169.548359999999
OI000218,O000378,P00167,1,26531.19,10.6,PURCHASE,1,23718.883859999998
OI000219,O000302,P00167,1,411.2,14.2,PURCHASE,1,352.8096
OI000220,O000263,P00498,1,29365.0,31.1,PURCHASE,1,20232.485
OI000221,O000764,P00353,4,7794.62,25.0,PURCHASE,4,23383.86
OI000222,O000453,P00113,3,17491.75,32.3,PURCHASE,3,35525.74425
OI000223,O000238,P00374,4,27074.83,3.7,PURCHASE,4,104292.24516
OI000224,O000181,P00097,5,21911.45,25.9,PURCHASE,5,81181.92225
OI000225,O000182,P00419,4,5716.66,5.7,PURCHASE,4,21563.24152
OI000226,O000661,P00497,4,15850.68,29.1,PURCHASE,4,44952.52848
OI000227,O000387,P00197,1,505.21,33.2,PURCHASE,1,337.48027999999994
OI000228,O000789,P00043,3,18858.79,0.5,PURCHASE,3,56293.488150000005
OI000229,O000109,P00278,3,2640.46,5.6,PURCHASE,3,7477.78272
OI000230,O000168,P00158,3,7389.88,21.7,PURCHASE,3,17358.828120000002
OI000231,O000022,P00423,1,8972.48,20.5,PURCHASE,1,7133.1216
OI000232,O000230,P00013,2,4506.56,26.2,PURCHASE,2,6651.68256
OI000233,O000394,P00352,1,29723.96,9.0,PURCHASE,1,27048.8036
OI000234,O000079,P00316,3,27707.26,36.8,PURCHASE,3,52532.96496
OI000235,O000183,P00220,5,5522.83,17.0,PURCHASE,5,22919.7445
OI000236,O000640,P00419,3,3207.28,36.6,PURCHASE,3,6100.2465600000005
OI000237,O000729,P00409,1,25865.25,39.1,PURCHASE,1,15751.937249999999
OI000238,O000152,P00200,4,23587.83,19.1,PURCHASE,4,76330.21788
OI000239,O000745,P00143,2,29843.67,7.3,PURCHASE,2,55330.16418
OI000240,O000435,P00247,4,19134.47,5.5,PURCHASE,4,72328.2966
OI000241,O000393,P00215,5,16059.74,21.3,PURCHASE,5,63195.0769
OI000242,O000595,P00367,4,23320.12,32.5,PURCHASE,4,62964.324
OI000243,O000371,P00002,2,612.92,22.3,PURCHASE,2,952.47768
OI000244,O000062,P00467,3,25494.94,31.1,PURCHASE,3,52698.04098
OI000245,O000565,P00498,4,24851.87,2.2,PURCHASE,4,97220.51543999999
OI000246,O000721,P00074,4,20914.06,17.0,PURCHASE,4,69434.6792
OI000247,O000596,P00038,4,26127.26,1.2,PURCHASE,4,103254.93152
OI000248,O000079,P00007,5,12553.2,30.6,PURCHASE,5,43559.604
OI000249,O000541,P00358,3,21704.47,17.8,PURCHASE,3,53523.22302
OI000250,O000114,P00080,1,1060.36,30.0,PURCHASE,1,742.2519999999998
OI000251,O000434,P00349,4,24902.6,36.8,PURCHASE,4,62953.7728
OI000252,O000434,P00477,2,2848.9,15.1,PURCHASE,2,4837.4322
OI000253,O000411,P00317,1,5592.44,29.8,PURCHASE,1,3925.8928799999994
OI000254,O000710,P00240,4,19292.54,33.1,PURCHASE,4,51626.837040000006
OI000255,O000663,P00218,2,3221.56,14.5,PURCHASE,2,5508.8676
OI000256,O000246,P00145,2,2053.04,23.9,PURCHASE,2,3124.72688
OI000257,O000565,P00104,1,2642.68,22.8,PURCHASE,1,2040.14896
OI000258,O000496,P00024,1,28310.92,0.3,PURCHASE,1,28225.98724
OI000259,O000408,P00257,2,11780.18,14.2,PURCHASE,2,20214.78888
OI000260,O000340,P00209,5,24244.08,6.0,PURCHASE,5,113947.176
OI000261,O000601,P00445,1,4630.98,18.5,PURCHASE,1,3774.248699999999
OI000262,O000736,P00119,2,19661.18,30.8,PURCHASE,2,27211.073119999997
OI000263,O000529,P00374,5,27913.79,13.7,PURCHASE,5,120448.00385000001
OI000264,O000369,P00320,4,21411.6,27.3,PURCHASE,4,62264.932799999995
OI000265,O000622,P00039,2,29832.7,3.9,PURCHASE,2,57338.4494
OI000266,O000317,P00281,1,13698.75,6.8,PURCHASE,1,12767.234999999999
OI000267,O000591,P00187,3,5457.67,30.9,PURCHASE,3,11313.74991
OI000268,O000263,P00391,4,4299.37,5.0,PURCHASE,4,16337.605999999998
OI000269,O000294,P00206,4,27522.49,5.2,PURCHASE,4,104365.28208
OI000270,O000322,P00192,1,15227.68,10.5,PURCHASE,1,13628.7736
OI000271,O000636,P00330,1,7420.02,32.8,PURCHASE,1,4986.25344
OI000272,O000298,P00193,2,25629.49,8.9,PURCHASE,2,46696.93078
OI000273,O000358,P00239,4,27013.78,18.6,PURCHASE,4,87956.86768
OI000274,O000407,P00394,4,9928.75,12.7,PURCHASE,4,34671.195
OI000275,O000720,P00380,4,13691.9,21.8,PURCHASE,4,42828.2632
OI000276,O000219,P00164,5,18072.21,15.2,PURCHASE,5,76626.17039999999
OI000277,O000441,P00243,2,26053.82,38.1,PURCHASE,2,32254.62916
OI000278,O000651,P00091,1,8289.77,3.3,PURCHASE,1,8016.20759
OI000279,O000430,P00269,2,7857.47,33.2,PURCHASE,2,10497.579919999998
OI000280,O000351,P00494,3,10543.36,16.8,PURCHASE,3,26316.22656
OI000281,O000165,P00495,4,20817.75,15.6,PURCHASE,4,70280.724
OI000282,O000612,P00102,1,17396.83,5.8,PURCHASE,1,16387.813860000002
OI000283,O000752,P00381,-3,26905.38,37.4,RETURN,3,-50528.30364
OI000284,O000691,P00209,3,209.94,18.0,PURCHASE,3,516.4524
OI000285,O000461,P00328,5,6636.82,39.2,PURCHASE,5,20175.9328
OI000286,O000171,P00308,4,6371.92,7.6,PURCHASE,4,23550.61632
OI000287,O000380,P00417,-3,26909.98,20.1,RETURN,3,-64503.22205999999
OI000288,O000665,P00234,4,10631.12,21.7,PURCHASE,4,33296.66784
OI000289,O000117,P00475,2,11256.33,22.1,PURCHASE,2,17537.36214
OI000290,O000292,P00433,4,21092.57,37.5,PURCHASE,4,52731.425
OI000291,O000090,P00413,1,591.15,37.3,PURCHASE,1,370.65105
OI000292,O000639,P00475,5,13378.69,23.2,PURCHASE,5,51374.1696
OI000293,O000431,P00109,2,16592.48,4.6,PURCHASE,2,31658.451839999998
OI000294,O000360,P00496,4,24630.5,28.2,PURCHASE,4,70738.796
OI000296,O000425,P00345,-2,27280.87,1.3,RETURN,2,-53852.437379999996
OI000297,O000532,P00420,5,5195.28,22.9,PURCHASE,5,20027.804399999997
OI000298,O000401,P00099,5,24873.64,32.1,PURCHASE,5,84446.0078
OI000299,O000652,P00200,2,9611.94,6.3,PURCHASE,2,18012.775560000002
OI000300,O000130,P00259,1,23550.01,33.7,PURCHASE,1,15613.65663
OI000301,O000567,P00082,3,2888.64,17.5,PURCHASE,3,7149.384
OI000302,O000029,P00317,5,2455.3,15.3,PURCHASE,5,10398.1955
OI000303,O000465,P00325,3,19610.43,8.9,PURCHASE,3,53595.30519
OI000304,O000744,P00400,4,19811.81,11.0,PURCHASE,4,70530.0436
OI000305,O000654,P00297,1,27823.25,4.9,PURCHASE,1,26459.91075
OI000306,O000185,P00048,1,10905.78,33.5,PURCHASE,1,7252.343700000001
OI000307,O000023,P00212,1,18807.91,8.4,PURCHASE,1,17228.045560000002
OI000308,O000649,P00466,4,5476.21,0.4,PURCHASE,4,21817.22064
OI000309,O000622,P00438,1,10350.03,13.9,PURCHASE,1,8911.37583
OI000310,O000006,P00082,5,27804.84,7.7,PURCHASE,5,128319.33660000001
OI000311,O000525,P00390,2,11010.23,35.9,PURCHASE,2,14115.11486
OI000312,O000086,P00373,2,14499.09,38.1,PURCHASE,2,17949.87342
OI000313,O000302,P00240,4,28395.74,36.9,PURCHASE,4,71670.84776
OI000314,O000735,P00144,4,23815.28,23.5,PURCHASE,4,72874.7568
OI000315,O000740,P00250,4,12769.75,29.9,PURCHASE,4,35806.379
OI000316,O000622,P00197,4,10652.17,35.9,PURCHASE,4,27312.16388
OI000317,O000035,P00491,5,12353.27,24.2,PURCHASE,5,46818.8933
OI000318,O000544,P00181,-4,5479.14,12.9,RETURN,4,-19089.32376
OI000319,O000075,P00111,3,23407.49,4.9,PURCHASE,3,66781.56897
OI000320,O000337,P00110,4,9714.68,9.3,PURCHASE,4,35244.85904
OI000321,O000218,P00270,2,8413.65,24.3,PURCHASE,2,12738.266099999999
OI000322,O000077,P00294,4,13112.65,32.5,PURCHASE,4,35404.155
OI000323,O000506,P00256,1,12694.99,5.0,PURCHASE,1,12060.2405
OI000324,O000393,P00122,-5,633.31,31.3,RETURN,5,-2175.4198499999998
OI000326,O000661,P00009,1,24912.52,16.6,PURCHASE,1,20777.04168
OI000327,O000355,P00205,1,9463.92,24.5,PURCHASE,1,7145.2596
OI000328,O000466,P00253,1,28137.34,4.1,PURCHASE,1,26983.709059999997
OI000329,O000143,P00054,3,21755.18,9.1,PURCHASE,3,59326.37586
OI000330,O000378,P00418,5,28029.9,34.7,PURCHASE,5,91517.6235
OI000331,O000114,P00025,3,9946.94,24.5,PURCHASE,3,22529.8191
OI000332,O000175,P00474,2,3685.05,12.8,PURCHASE,2,6426.7272
OI000333,O000424,P00327,4,15700.73,9.6,PURCHASE,4,56773.83968
OI000334,O000288,P00165,4,7987.98,11.8,PURCHASE,4,28181.593439999997
OI000335,O000249,P00338,2,2346.82,19.8,PURCHASE,2,3764.2992800000006
OI000336,O000480,P00420,4,3225.59,8.3,PURCHASE,4,11831.46412
OI000337,O000321,P00390,3,19693.15,33.9,PURCHASE,3,39051.51645
OI000338,O000373,P00198,4,15452.57,31.2,PURCHASE,4,42525.47263999999
OI000339,O000169,P00352,3,17359.54,4.1,PURCHASE,3,49943.39658
OI000340,O000113,P00124,1,5692.19,1.1,PURCHASE,1,5629.57591
OI000341,O000272,P00061,5,13001.06,6.0,PURCHASE,5,61104.98199999999
OI000342,O000055,P00226,3,1569.12,15.3,PURCHASE,3,3987.1339199999998
OI000343,O000194,P00207,2,15933.93,19.7,PURCHASE,2,25589.891580000003
OI000344,O000662,P00128,1,1688.82,1.4,PURCHASE,1,1665.17652
OI000345,O000104,P00142,2,21015.42,16.2,PURCHASE,2,35221.84391999999
OI000346,O000709,P00138,4,23593.26,13.9,PURCHASE,4,81255.18744
OI000347,O000752,P00002,1,27242.69,24.9,PURCHASE,1,20459.260189999997
OI000348,O000705,P00123,2,2176.69,7.5,PURCHASE,2,4026.8765000000003
OI000349,O000014,P00342,4,722.72,39.0,PURCHASE,4,1763.4368
OI000350,O000779,P00437,1,29089.29,23.3,PURCHASE,1,22311.48543
OI000351,O000113,P00024,1,29713.35,33.4,PURCHASE,1,19789.0911
OI000352,O000151,P00397,1,24136.39,13.4,PURCHASE,1,20902.11374
OI000353,O000559,P00132,4,13816.65,33.1,PURCHASE,4,36973.3554
OI000354,O000531,P00397,5,8171.13,20.8,PURCHASE,5,32357.674800000004
OI000355,O000421,P00439,2,4334.83,19.9,PURCHASE,2,6944.3976600000005
OI000356,O000442,P00185,2,5895.88,38.2,PURCHASE,2,7287.30768
OI000357,O000642,P00348,5,13533.15,38.3,PURCHASE,5,41749.76775
