order_item_id,order_id,product_id,quantity,unit_price,discount_percent
OI000088,O000583,P00088,3,18036.03,39.3
OI000089,O000790,P00356,2,19097.07,35.4
OI000090,O000494,P00035,-3,27371.89,18.0
OI000091,O000516,P00301,1,18528.83,35.9
OI000092,O000776,P00125,5,4212.91,19.9
OI000093,O000658,P00020,2,17982.45,37.8
OI000094,O000285,P00163,1,29329.27,25.9
OI000095,O000751,P00170,3,16225.42,36.3
OI000096,O000704,P00357,2,11506.43,12.9
OI000097,O900008,P00036,2,29761.18,37.5
OI000098,O000563,P00426,2,2437.12,29.0
OI000099,O000251,P00218,2,9162.71,23.1
OI000100,O000493,P00041,3,5116.2,17.7
OI000101,O000779,P00080,-4,11504.44,34.2
OI000102,O000610,P00276,2,5353.41,15.2
OI000103,O000576,P00311,4,4186.02,18.8
OI000104,O000014,P00442,5,11290.31,16.2
OI000105,O000761,P00192,4,19267.36,23.5
OI000106,O000128,P00198,5,22912.23,38.3
OI000107,O000357,P00261,4,11108.6,2.3
OI000108,O000253,P00125,4,24412.48,25.2
OI000109,O000661,P00076,3,28333.53,5.9
OI000110,O000679,P00431,-2,23152.07,25.8
OI000111,O000601,P00499,1,5745.82,16.9
OI000112,O000310,P00257,5,11545.38,12.3
OI000113,O000746,P00446,1,17221.09,31.9
OI000114,O000215,P00477,4,291.97,6.7
OI000115,O000793,P00357,4,19670.18,29.3
OI000116,O000721,P00069,2,15128.15,4.4
OI000117,O000206,P00031,2,5837.36,39.3
OI000118,O000640,P00056,2,2662.64,5.0
OI000119,O000241,P00245,4,3114.19,2.4
OI000120,O900001,P00050,2,317.13,24.1
OI000121,O000498,P00243,3,10162.85,27.3
OI000122,O000246,P00482,3,11415.23,2.3
OI000123,O000103,P00002,4,12114.07,33.4
OI000124,O000126,P00445,5,21008.01,32.6
OI000125,O000675,P00446,4,19840.83,0.1
OI000126,O000330,P00009,3,29090.97,29.4
OI000127,O000497,P00205,5,10515.19,37.6
OI000128,O000675,P00439,1,8886.5,7.8
OI000129,O000586,P00402,5,14987.96,3.5
OI000130,O000479,P00087,4,14516.84,21.6
OI000131,O000676,P00359,1,29801.51,1.2
OI000132,O000393,P00393,3,7803.09,19.1
OI000133,O000140,P00473,5,14809.57,31.8
OI000134,O000590,P00393,5,10362.45,36.4
OI000135,O000670,P00329,5,13165.17,9.3
OI000136,O000115,P00046,3,28122.6,29.8
OI000137,O000321,P00489,4,150.19,2.5
OI000138,O000434,P00164,3,28024.36,5.1
OI000139,O000110,P00203,1,13872.02,5.8
OI000140,O000512,P00349,4,8573.45,29.9
OI000141,O000036,P00307,3,29711.02,4.9
OI000142,O000490,P00324,2,21153.8,15.1
OI000143,O000734,P00108,2,1671.73,34.6
OI000144,O000402,P00154,2,16483.49,13.5
OI000145,O000776,P00201,4,21829.96,11.3
OI000146,O000562,P00202,1,22592.77,23.2
OI000147,O000727,P00156,4,17357.01,17.7
OI000148,O000215,P00112,2,373.06,29.0
OI000149,O000152,P00193,4,5129.87,2.3
OI000150,O000054,P00061,5,17842.43,38.8
OI000151,O000035,P00061,2,9150.42,23.8
OI000152,O000795,P00355,1,25960.38,26.0
OI000153,O000377,P00006,1,3749.34,25.7
OI000154,O000601,P00294,5,20842.4,3.8
OI000155,O000661,P00360,4,3844.57,13.0
OI000156,O000551,P00095,4,690.42,22.2
OI000157,O000501,P00033,5,16215.56,32.8
OI000158,O000213,P00495,1,18013.17,7.2
OI000159,O000126,P00021,2,19613.95,3.5
OI000160,O000087,P00064,5,28991.66,6.9
OI000161,O000255,P00154,1,15631.35,31.3
OI000162,O000591,P00252,3,29581.98,14.1
OI000163,O000102,P00340,1,5723.4,12.0
OI000164,O000617,P00283,2,8394.13,29.2
OI000165,O000267,P00196,2,2589.3,10.2
OI000166,O000549,P00105,1,8155.05,25.3
OI000167,O000578,P00337,5,12648.63,6.1
OI000168,O000027,P00494,5,8176.74,21.3
OI000169,O000338,P00328,1,10072.17,10.9
OI000170,O000011,P00051,4,6744.54,38.1
OI000171,O000540,P00373,3,24223.27,3.8
OI000172,O000289,P00283,3,26907.45,6.8
OI000173,O000354,P00413,5,26472.43,16.1
OI000174,O000704,P00263,2,4365.84,22.7
OI000175,O000655,P00499,3,7548.44,24.3
OI000176,O000363,P00409,4,8347.11,17.1
OI000177,O000235,P00157,1,12254.79,12.5
OI000178,O000748,P00123,1,1816.6,29.7
OI000179,O000011,P00493,4,27980.0,5.5
OI000180,O000694,P00455,5,12223.6,24.7
OI000181,O000732,P00218,5,7402.36,29.6
OI000182,O000541,P00351,5,13514.7,6.7
OI000183,O000231,P00090,1,4086.23,14.1
OI000184,O000175,P00192,1,20403.99,33.3
OI000185,O000298,P00154,4,6470.67,29.5
OI000186,O000313,P00476,5,1159.33,18.5
OI000187,O000365,P00004,5,9020.68,4.3
OI000188,O000412,P00182,1,14812.18,3.4
OI000189,O000127,P00468,-4,23106.48,10.0
OI000190,O000374,P00220,2,8157.5,39.6
OI000191,O000144,P00182,-4,26518.93,28.4
OI000192,O000137,P00203,4,27039.83,6.4
OI000193,O000682,P00137,1,16548.7,32.0
OI000194,O000783,P00400,4,27714.48,33.7
OI000195,O000111,P00406,1,10389.2,0.5
OI000196,O000351,P00220,5,13086.42,11.6
OI000197,O000254,P00317,2,5687.12,11.2
OI000198,O000718,P00127,4,21223.18,32.4
OI000199,O000186,P00097,5,4546.91,4.8
OI000200,O000197,P00476,2,18532.37,3.6
OI000201,O000314,P00359,2,12839.67,2.5
OI000202,O000113,P00138,3,10595.63,16.7
OI000203,O000042,P00001,1,9717.02,11.4
OI000204,O000442,P00095,3,10971.08,12.2
OI000205,O000566,P00395,2,22264.63,14.5
OI000206,O000381,P00122,3,11583.08,35.5
OI000207,O000124,P00022,5,26532.84,32.7
OI000208,O000102,P00039,5,9114.14,19.0
OI000209,O000158,P00023,2,16559.82,10.1
OI000210,O000574,P00500,3,13509.62,28.7
OI000211,O000430,P00269,5,5091.36,11.0
OI000212,O000580,P00032,2,11985.07,27.4
OI000213,O000170,P00225,5,23403.23,16.0
OI000214,O000164,P00293,2,364.95,37.1
OI000215,O000738,P00269,3,6688.06,28.3
OI000216,O000047,P00274,2,19224.5,37.7
OI000217,O000053,P00329,2,6378.17,4.6
OI000218,O000378,P00167,1,26531.19,10.6
OI000219,O000302,P00167,1,411.2,14.2
OI000220,O000263,P00498,1,29365.0,31.1
OI000221,O000764,P00353,4,7794.62,25.0
OI000222,O000453,P00113,3,17491.75,32.3
OI000223,O000238,P00374,4,27074.83,3.7
OI000224,O000181,P00097,5,21911.45,25.9
OI000225,O000182,P00419,4,5716.66,5.7
OI000226,O000661,P00497,4,15850.68,29.1
OI000227,O000387,P00197,1,505.21,33.2
OI000228,O000789,P00043,3,18858.79,0.5
OI000229,O000109,P00278,3,2640.46,5.6
OI000230,O000168,P00158,3,7389.88,21.7
OI000231,O000022,P00423,1,8972.48,20.5
OI000232,O000230,P00013,2,4506.56,26.2
OI000233,O000394,P00352,1,29723.96,9.0
OI000234,O000079,P00316,3,27707.26,36.8
OI000235,O000183,P00220,5,5522.83,17.0
OI000236,O000640,P00419,3,3207.28,36.6
OI000237,O000729,P00409,1,25865.25,39.1
OI000238,O000152,P00200,4,23587.83,19.1
OI000239,O000745,P00143,2,29843.67,7.3
OI000240,O000435,P00247,4,19134.47,5.5
OI000241,O000393,P00215,5,16059.74,21.3
OI000242,O000595,P00367,4,23320.12,32.5
OI000243,O000371,P00002,2,612.92,22.3
OI000244,O000062,P00467,3,25494.94,31.1
OI000245,O000565,P00498,4,24851.87,2.2
OI000246,O000721,P00074,4,20914.06,17.0
OI000247,O000596,P00038,4,26127.26,1.2
OI000248,O000079,P00007,5,12553.2,30.6
OI000249,O000541,P00358,3,21704.47,17.8
OI000250,O000114,P00080,1,1060.36,30.0
OI000251,O000434,P00349,4,24902.6,36.8
OI000252,O000434,P00477,2,2848.9,15.1
OI000253,O000411,P00317,1,5592.44,29.8
OI000254,O000710,P00240,4,19292.54,33.1
OI000255,O000663,P00218,2,3221.56,14.5
OI000256,O000246,P00145,2,2053.04,23.9
OI000257,O000565,P00104,1,2642.68,22.8
OI000258,O000496,P00024,1,28310.92,0.3
OI000259,O000408,P00257,2,11780.18,14.2
OI000260,O000340,P00209,5,24244.08,6.0
OI000261,O000601,P00445,1,4630.98,18.5
OI000262,O000736,P00119,2,19661.18,30.8
OI000263,O000529,P00374,5,27913.79,13.7
OI000264,O000369,P00320,4,21411.6,27.3
OI000265,O000622,P00039,2,29832.7,3.9
OI000266,O000317,P00281,1,13698.75,6.8
OI000267,O000591,P00187,3,5457.67,30.9
OI000268,O000263,P00391,4,4299.37,5.0
OI000269,O000294,P00206,4,27522.49,5.2
OI000270,O000322,P00192,1,15227.68,10.5
OI000271,O000636,P00330,1,7420.02,32.8
OI000272,O000298,P00193,2,25629.49,8.9
OI000273,O000358,P00239,4,27013.78,18.6
OI000274,O000407,P00394,4,9928.75,12.7
OI000275,O000720,P00380,4,13691.9,21.8
OI000276,O000219,P00164,5,18072.21,15.2
OI000277,O000441,P00243,2,26053.82,38.1
OI000278,O000651,P00091,1,8289.77,3.3
OI000279,O000430,P00269,2,7857.47,33.2
OI000280,O000351,P00494,3,10543.36,16.8
OI000281,O000165,P00495,4,20817.75,15.6
OI000282,O000612,P00102,1,17396.83,5.8
OI000283,O000752,P00381,-3,26905.38,37.4
OI000284,O000691,P00209,3,209.94,18.0
OI000285,O000461,P00328,5,6636.82,39.2
OI000286,O000171,P00308,4,6371.92,7.6
OI000287,O000380,P00417,-3,26909.98,20.1
OI000288,O000665,P00234,4,10631.12,21.7
OI000289,O000117,P00475,2,11256.33,22.1
OI000290,O000292,P00433,4,21092.57,37.5
OI000291,O000090,P00413,1,591.15,37.3
OI000292,O000639,P00475,5,13378.69,23.2
OI000293,O000431,P00109,2,16592.48,4.6
OI000294,O000360,P00496,4,24630.5,28.2
OI000295,O900006,P00401,2,8101.51,26.3
OI000296,O000425,P00345,-2,27280.87,1.3
OI000297,O000532,P00420,5,5195.28,22.9
OI000298,O000401,P00099,5,24873.64,32.1
OI000299,O000652,P00200,2,9611.94,6.3
OI000300,O000130,P00259,1,23550.01,33.7
OI000301,O000567,P00082,3,2888.64,17.5
OI000302,O000029,P00317,5,2455.3,15.3
OI000303,O000465,P00325,3,19610.43,8.9
OI000304,O000744,P00400,4,19811.81,11.0
OI000305,O000654,P00297,1,27823.25,4.9
OI000306,O000185,P00048,1,10905.78,33.5
OI000307,O000023,P00212,1,18807.91,8.4
OI000308,O000649,P00466,4,5476.21,0.4
OI000309,O000622,P00438,1,10350.03,13.9
OI000310,O000006,P00082,5,27804.84,7.7
OI000311,O000525,P00390,2,11010.23,35.9
OI000312,O000086,P00373,2,14499.09,38.1
OI000313,O000302,P00240,4,28395.74,36.9
OI000314,O000735,P00144,4,23815.28,23.5
OI000315,O000740,P00250,4,12769.75,29.9
OI000316,O000622,P00197,4,10652.17,35.9
OI000317,O000035,P00491,5,12353.27,24.2
OI000318,O000544,P00181,-4,5479.14,12.9
OI000319,O000075,P00111,3,23407.49,4.9
OI000320,O000337,P00110,4,9714.68,9.3
OI000321,O000218,P00270,2,8413.65,24.3
OI000322,O000077,P00294,4,13112.65,32.5
OI000323,O000506,P00256,1,12694.99,5.0
OI000324,O000393,P00122,-5,633.31,31.3
OI000325,O900008,P00146,2,12144.04,35.8
OI000326,O000661,P00009,1,24912.52,16.6
OI000327,O000355,P00205,1,9463.92,24.5
OI000328,O000466,P00253,1,28137.34,4.1
OI000329,O000143,P00054,3,21755.18,9.1
OI000330,O000378,P00418,5,28029.9,34.7
OI000331,O000114,P00025,3,9946.94,24.5
OI000332,O000175,P00474,2,3685.05,12.8
OI000333,O000424,P00327,4,15700.73,9.6
OI000334,O000288,P00165,4,7987.98,11.8
OI000335,O000249,P00338,2,2346.82,19.8
OI000336,O000480,P00420,4,3225.59,8.3
OI000337,O000321,P00390,3,19693.15,33.9
OI000338,O000373,P00198,4,15452.57,31.2
OI000339,O000169,P00352,3,17359.54,4.1
OI000340,O000113,P00124,1,5692.19,1.1
OI000341,O000272,P00061,5,13001.06,6.0
OI000342,O000055,P00226,3,1569.12,15.3
OI000343,O000194,P00207,2,15933.93,19.7
OI000344,O000662,P00128,1,1688.82,1.4
OI000345,O000104,P00142,2,21015.42,16.2
OI000346,O000709,P00138,4,23593.26,13.9
OI000347,O000752,P00002,1,27242.69,24.9
OI000348,O000705,P00123,2,2176.69,7.5
OI000349,O000014,P00342,4,722.72,39.0
OI000350,O000779,P00437,1,29089.29,23.3
OI000351,O000113,P00024,1,29713.35,33.4
OI000352,O000151,P00397,1,24136.39,13.4
OI000353,O000559,P00132,4,13816.65,33.1
OI000354,O000531,P00397,5,8171.13,20.8
OI000355,O000421,P00439,2,4334.83,19.9
OI000356,O000442,P00185,2,5895.88,38.2
OI000357,O000642,P00348,5,13533.15,38.3
OI000358,O000696,P00179,3,12577.1,39.8
OI000359,O000533,P00360,3,3776.54,31.8
OI000360,O000356,P00148,1,15017.92,27.4
OI000361,O000297,P00320,5,9179.0,11.5
OI000362,O000042,P00112,3,3790.73,19.5
OI000363,O000001,P00026,3,26373.79,31.4
OI000364,O000575,P00080,1,4365.06,29.3
OI000365,O000298,P00113,1,10703.5,32.5
OI000366,O000101,P00458,3,17951.46,6.9
OI000367,O000593,P00072,2,12547.74,8.0
OI000368,O000644,P00237,5,23493.93,33.4
OI000369,O000711,P00161,5,21406.7,18.7
OI000370,O000421,P00237,1,890.02,30.7
OI000371,O000310,P00403,2,11256.02,24.8
OI000372,O000055,P00387,4,20135.37,18.5
OI000373,O000056,P00044,1,29586.59,4.3
OI000374,O000580,P00247,3,3731.14,23.4
OI000375,O000719,P00105,5,22238.68,19.8
OI000376,O000159,P00155,3,28102.28,32.2
OI000377,O000069,P00001,2,3718.93,3.9
OI000378,O000518,P00228,4,3742.16,16.2
OI000379,O000560,P00134,5,25793.49,24.7
OI000380,O000190,P00073,2,22275.78,21.9
OI000381,O000684,P00052,5,20064.22,15.6
OI000382,O000427,P00417,4,8574.32,4.8
OI000383,O000035,P00331,5,27252.44,14.2
OI000384,O000470,P00142,1,10796.66,34.2
OI000385,O000724,P00269,4,5317.46,6.1
OI000386,O000471,P00367,2,22901.97,12.1
OI000387,O000661,P00248,4,18214.67,7.2
OI000388,O000675,P00270,3,9789.89,38.2
OI000389,O000414,P00035,-1,22013.04,9.3
OI000390,O000696,P00244,3,29441.72,32.3
OI000391,O000179,P00373,4,12659.68,2.6
OI000392,O000768,P00038,4,18235.35,33.6
OI000393,O000716,P00231,4,19158.13,22.3
OI000394,O000696,P00147,2,4946.48,32.6
OI000395,O000597,P00013,1,24319.26,35.7
OI000396,O000560,P00443,1,20502.6,38.3
OI000397,O000195,P00427,2,14264.61,14.1
OI000398,O000142,P00411,1,18801.57,35.0
OI000399,O000530,P00153,1,6994.15,24.1
OI000400,O000297,P00473,3,10801.37,34.9
OI000401,O000548,P00295,2,27961.09,20.0
OI000402,O000715,P00457,1,28114.11,39.4
OI000403,O000432,P00134,2,22965.6,5.6
OI000404,O000776,P00340,1,2280.07,37.9
OI000405,O000784,P00414,1,2215.82,16.6
OI000406,O000565,P00246,2,1348.06,1.4
OI000407,O000442,P00245,3,26305.85,9.1
OI000408,O000201,P00274,5,20490.04,29.5
OI000409,O000785,P00194,2,12862.32,5.5
OI000410,O000377,P00181,2,27550.25,9.5
OI000411,O000423,P00383,5,29729.07,0.6
OI000412,O000079,P00030,2,8549.62,12.6
OI000413,O000300,P00067,5,19761.73,26.3
OI000414,O000211,P00254,3,25776.93,17.7
OI000415,O000565,P00150,2,8099.3,27.9
OI000416,O000421,P00362,5,2445.54,36.5
OI000417,O000313,P00380,5,11234.46,32.7
OI000418,O000716,P00226,4,736.56,33.5
OI000419,O000308,P00424,1,25651.77,15.4
OI000420,O000455,P00023,2,5614.36,17.2
OI000421,O000555,P00391,3,27310.61,30.2
OI000422,O000269,P00415,5,917.62,29.0
OI000423,O000747,P00476,1,16643.5,38.1
OI000424,O000548,P00238,4,17092.26,20.8
OI000425,O000764,P00474,2,553.98,32.0
OI000426,O000256,P00395,5,17175.37,1.5
OI000427,O000257,P00401,-5,9276.17,26.4
OI000428,O000455,P00237,1,14046.54,38.6
OI000429,O000224,P00210,1,2478.45,35.9
OI000430,O000452,P00093,3,8356.72,34.8
OI000431,O000151,P00447,5,7056.91,26.2
OI000432,O000451,P00297,3,21549.0,2.4
OI000433,O000264,P00009,3,1437.52,9.4
OI000434,O000116,P00262,1,9841.09,14.9
OI000435,O000658,P00219,3,9863.56,31.5
OI000436,O000668,P00192,4,8892.48,1.2
OI000437,O000154,P00467,-5,18310.24,32.3
OI000438,O000521,P00402,5,28204.2,15.2
OI000439,O000154,P00196,1,28762.89,39.7
OI000440,O000646,P00281,4,3725.15,35.1
OI000441,O000676,P00269,5,8148.56,33.4
OI000442,O000249,P00410,3,9513.01,38.9
OI000443,O000420,P00186,1,15218.74,36.6
OI000444,O000460,P00403,4,24851.85,39.5
OI000445,O000418,P00346,5,18205.82,31.8
OI000446,O000419,P00216,5,17322.75,25.3
OI000447,O000465,P00008,2,7974.95,22.2
OI000448,O000130,P00446,1,815.55,6.7
OI000449,O000543,P00471,4,10695.6,16.1
OI000450,O000122,P00173,3,18537.22,39.8
OI000451,O000364,P00487,4,18961.88,29.6
OI000452,O000717,P00069,2,17727.79,32.8
OI000453,O000008,P00304,5,19517.2,15.2
OI000454,O000603,P00144,1,14849.47,1.9
OI000455,O000521,P00433,4,11583.63,30.3
OI000456,O000753,P00452,2,8419.86,35.2
OI000457,O000170,P00061,3,13223.61,35.4
OI000458,O000621,P00386,1,20026.37,5.6
OI000459,O000773,P00087,1,1288.38,35.6
OI000460,O000501,P00427,1,8526.94,37.9
OI000461,O000130,P00426,4,3377.48,28.3
OI000462,O000443,P00253,3,4190.86,11.1
OI000463,O000081,P00382,2,9880.76,20.3
OI000464,O000526,P00345,1,9512.82,37.0
OI000465,O000534,P00163,2,19867.8,35.1
OI000466,O000009,P00126,2,26176.23,8.8
OI000467,O000497,P00417,2,8549.73,7.9
OI000468,O000741,P00384,-2,2111.11,22.3
OI000469,O000429,P00353,3,18967.69,9.4
OI000470,O000185,P00450,3,26263.67,26.7
OI000471,O000613,P00183,5,2986.34,4.5
OI000472,O000295,P00215,4,19906.3,4.6
OI000473,O000117,P00178,4,23233.09,19.3
OI000474,O000422,P00352,-2,8110.92,8.6
OI000475,O000576,P00396,3,9596.79,15.7
OI000476,O000056,P00138,4,10261.26,32.7
OI000477,O000587,P00449,2,23408.6,4.4
OI000478,O000133,P00310,-5,21694.64,32.1
OI000479,O000362,P00393,5,1571.53,8.4
OI000480,O000549,P00203,2,4925.98,15.0
OI000481,O000255,P00482,1,698.85,37.6
OI000482,O000497,P00022,2,824.91,25.3
OI000483,O000768,P00064,4,4022.68,29.6
OI000484,O000076,P00259,-4,22305.29,21.7
OI000485,O000603,P00406,4,18210.18,12.5
OI000486,O000024,P00155,3,3080.41,38.8
OI000487,O000440,P00048,2,16873.79,19.3
OI000488,O000251,P00196,1,21853.97,38.1
OI000489,O000464,P00115,5,11980.72,9.3
OI000490,O000659,P00160,3,18934.42,3.3
OI000491,O000502,P00304,2,12155.53,33.5
OI000492,O000779,P00120,1,7635.51,12.5
OI000493,O000330,P00353,5,26155.69,10.7
OI000494,O000501,P00280,4,19595.06,12.9
OI000495,O000758,P00376,1,12828.49,3.1
OI000496,O000533,P00384,1,13184.28,38.9
OI000497,O000175,P00321,5,22494.9,21.9
OI000498,O000446,P00151,3,18491.5,14.9
OI000499,O000536,P00351,2,28564.66,14.9
OI000500,O000216,P00480,3,21631.89,34.1
OI000501,O000486,P00006,3,4595.44,2.7
OI000502,O000193,P00103,1,9997.95,2.4
OI000503,O000359,P00326,5,10414.23,0.6
OI000504,O000437,P00300,3,23032.97,37.4
OI000505,O000208,P00040,5,21946.68,11.2
OI000506,O000535,P00301,4,23182.16,23.7
OI000507,O000631,P00343,4,179.86,9.3
OI000508,O000630,P00076,2,26250.96,12.9
OI000509,O000524,P00414,4,14203.5,12.1
OI000510,O000403,P00194,4,10714.25,33.5
OI000511,O000620,P00432,2,28370.15,33.3
OI000512,O000574,P00227,4,7591.12,4.8
OI000513,O000183,P00013,3,23145.27,13.8
OI000514,O000196,P00196,3,22454.09,0.4
OI000515,O000006,P00301,3,27340.12,36.6
OI000516,O000280,P00018,3,12008.99,39.8
OI000517,O000059,P00498,5,25909.24,37.1
OI000518,O000503,P00089,4,19461.7,21.8
OI000519,O000628,P00458,2,5389.54,34.0
OI000520,O000123,P00029,4,1963.53,3.9
OI000521,O000199,P00336,5,10046.68,26.9
OI000522,O000174,P00464,5,11051.07,0.6
OI000523,O000684,P00343,1,24768.92,20.1
OI000524,O000455,P00023,3,20692.63,16.4
OI000525,O000004,P00160,3,3619.67,18.7
OI000526,O000475,P00046,1,5556.78,3.5
OI000527,O000021,P00393,2,6604.02,15.0
OI000528,O000253,P00158,2,22169.5,12.4
OI000529,O000286,P00072,5,6856.22,7.5
OI000530,O000303,P00133,4,14747.58,23.1
OI000531,O000461,P00425,2,25058.25,15.4
OI000532,O000720,P00223,3,20492.33,11.5
OI000533,O000565,P00425,3,23224.93,10.3
OI000534,O000119,P00265,2,14070.68,12.9
OI000535,O000035,P00166,1,26092.94,0.3
OI000536,O000664,P00463,1,10804.34,6.5
OI000537,O000450,P00415,5,17321.36,17.4
OI000538,O000259,P00371,3,14528.47,16.0
OI000539,O000240,P00391,5,12834.24,10.8
OI000540,O000168,P00263,2,26609.2,38.6
OI000541,O000582,P00385,2,10061.1,38.4
OI000542,O000785,P00073,3,5043.73,0.0
OI000543,O000309,P00158,1,25747.09,17.5
OI000544,O000569,P00433,-3,4863.96,4.0
OI000545,O000218,P00468,4,24957.28,28.2
OI000546,O000132,P00163,2,9880.64,11.3
OI000547,O000612,P00202,5,14700.45,29.6
OI000548,O000624,P00092,2,10261.54,32.9
OI000549,O000080,P00331,2,5720.32,8.4
OI000550,O000670,P00093,4,9401.65,27.0
OI000551,O000432,P00092,2,15568.72,4.3
OI000552,O000751,P00052,4,465.51,12.8
OI000553,O000466,P00006,4,20138.83,16.9
OI000554,O000760,P00325,1,24092.31,18.0
OI000555,O000344,P00433,5,3439.0,7.2
OI000556,O000691,P00041,-2,28451.22,28.3
OI000557,O000630,P00373,4,13996.42,1.6
OI000558,O000052,P00456,5,7644.57,13.5
OI000559,O000556,P00137,2,12570.1,17.9
OI000560,O000115,P00183,1,11946.82,7.0
OI000561,O000149,P00325,4,8313.42,38.9
OI000562,O000751,P00421,5,1315.17,13.1
OI000563,O000742,P00327,1,29409.97,3.2
OI000564,O000433,P00206,1,22428.33,28.9
OI000565,O000444,P00495,1,17169.76,39.8
OI000566,O000250,P00356,1,14240.26,30.4
OI000567,O000797,P00096,3,1467.69,15.9
OI000568,O000006,P00209,-2,12488.31,5.2
OI000569,O000651,P00163,1,640.38,13.0
OI000570,O000730,P00312,4,19079.7,13.2
OI000571,O000013,P00176,3,24696.6,6.1
OI000572,O000546,P00358,2,7745.21,1.3
OI000573,O000647,P00250,5,2584.45,29.9
OI000574,O000769,P00162,4,983.98,25.0
OI000575,O000442,P00213,1,8588.24,29.8
OI000576,O000551,P00068,4,25505.08,3.9
OI000577,O000585,P00149,2,23029.55,39.4
OI000578,O000361,P00385,2,18017.53,12.8
OI000579,O000704,P00492,3,16022.0,9.0
OI000580,O000294,P00423,4,26212.92,141.7
OI000581,O000672,P00089,1,19627.82,39.0
