order_id,customer_id,order_date,status,region_code
O000067,C00381,2024-05-17 15:10:50,SHIPPED,EAST
O000068,C00025,2024-12-20 14:55:43,DELIVERED,EAST
O000069,C00028,2023-01-11 01:41:22,SHIPPED,WEST
O000070,C00467,2024-05-07 06:40:25,DELIVERED,CENTRAL
O000071,C00309,2023-06-02 14:26:56,RETURNED,EAST
O000072,C00350,2023-02-27 20:12:09,SHIPPED,CENTRAL
O000073,C00021,2023-11-29 19:57:52,DELIVERED,SOUTH
O000074,C00131,2023-01-05 09:13:58,DELIVERED,SOUTH
O000075,,2024-12-22 06:53:06,PLACED,CENTRAL
O000076,C00155,2024-01-17 00:31:56,DELIVERED,NORTH
O000077,C00163,2024-02-13 02:04:26,SHIPPED,NORTH
O000078,C00082,2023-11-20 01:31:13,DELIVERED,EAST
O000079,C00110,2024-05-30 05:27:03,DELIVERED,SOUTH
O000080,C00317,2024-02-17 01:12:58,DELIVERED,NORTH
O000081,C00178,2023-12-13 03:50:22,DELIVERED,CENTRAL
O000082,C00021,2024-06-14 03:40:46,DELIVERED,NORTH
O000083,C00277,2024-07-16 07:53:00,CANCELLED,EAST
O000084,C00261,2023-12-13 01:46:57,DELIVERED,SOUTH
O000085,C00043,2023-03-16 12:45:27,RETURNED,CENTRAL
O000086,C00321,2023-02-20 20:28:59,DELIVERED,SOUTH
O000087,C00218,2024-10-11 01:55:34,DELIVERED,WEST
O000088,C00482,2023-02-26 00:25:24,SHIPPED,WEST
O000089,C00020,2023-03-09 23:30:28,SHIPPED,EAST
O000090,C00295,2024-09-30 04:05:39,DELIVERED,WEST
O000091,C00208,2023-12-03 08:10:18,DELIVERED,NORTH
O000092,C00329,2024-07-13 11:05:53,DELIVERED,CENTRAL
O000093,,2024-10-20 20:32:57,RETURNED,NORTH
O000094,C00352,2023-08-23 01:35:03,DELIVERED,WEST
O000095,C00421,28-05-2024,SHIPPED,SOUTH
O000096,C00201,2024-09-10 20:52:38,DELIVERED,SOUTH
O000097,C00455,2024-12-11 01:20:37,CANCELLED,EAST
O000098,C00006,2024-03-05 22:26:19,SHIPPED,NORTH
O000099,,2024-04-08 10:27:11,DELIVERED,NORTH
O000100,C00384,2024-07-29 21:15:57,DELIVERED,WEST
O000101,C00436,2024-02-03 02:40:29,SHIPPED,CENTRAL
O000102,C00100,2023-03-31 00:43:08,DELIVERED,NORTH
O000103,C00478,2024-03-02 07:19:34,DELIVERED,EAST
O000104,C00129,2023-03-18 06:37:31,DELIVERED,EAST
O000105,C00344,2024-05-24 02:54:07,DELIVERED,NORTH
O000106,C00163,2024-01-13 09:06:35,DELIVERED,EAST
O000107,C00079,2024-03-15 06:39:12,CANCELLED,WEST
O000108,C00161,2023-07-11 05:02:13,DELIVERED,WEST
O000109,C00185,2023-04-15 07:38:31,DELIVERED,WEST
O000110,C00184,2024-08-24 18:42:10,DELIVERED,SOUTH
O000111,C00042,2024-10-15 20:09:31,CANCELLED,CENTRAL
O000112,C00376,2024-11-19 10:29:50,DELIVERED,NORTH
O000113,C00324,2023-01-25 05:30:09,DELIVERED,CENTRAL
O000114,C00019,2024-03-04 10:27:26,CANCELLED,CENTRAL
O000115,C00397,2023-04-26 10:43:10,SHIPPED,CENTRAL
O000116,C00149,2023-04-14 23:43:39,DELIVERED,WEST
O000117,C00006,2024-05-29 17:13:20,RETURNED,CENTRAL
O000118,C00388,2024-02-04 08:12:08,SHIPPED,CENTRAL
O000119,C00338,2024-11-08 10:53:45,DELIVERED,WEST
O000120,C00021,2023-06-19 23:05:02,SHIPPED,EAST
O000121,C00022,2024-06-03 07:20:20,CANCELLED,EAST
O000122,C00470,2023-12-20 03:10:05,PLACED,EAST
O000123,C00496,2024-02-09 23:05:43,DELIVERED,EAST
O000124,C00292,2023-05-16 00:47:43,DELIVERED,CENTRAL
O000125,C00428,2023-03-02 10:59:44,DELIVERED,SOUTH
O000126,C00181,2024-09-26 18:23:50,DELIVERED,WEST
O000127,C00004,2024-01-25 18:55:09,DELIVERED,SOUTH
O000128,C00330,2023-08-07 02:40:07,SHIPPED,EAST
O000129,C00419,2023-04-02 21:50:06,DELIVERED,EAST
O000130,C00247,2024-06-08 11:11:19,SHIPPED,SOUTH
O000131,C00211,2023-01-18 10:25:28,SHIPPED,CENTRAL
O000132,C00323,03-02-2024,DELIVERED,NORTH
O000133,C00473,2023-05-20 20:08:34,DELIVERED,CENTRAL
O000134,C00450,2024-07-12 21:20:01,CANCELLED,NORTH
O000135,C00311,2024-01-02 03:47:01,SHIPPED,WEST
O000136,C00407,2024-03-28 13:18:40,SHIPPED,CENTRAL
O000137,C00371,2024-06-16 12:20:44,DELIVERED,CENTRAL
O000138,C00194,2023-10-27 09:31:49,PLACED,CENTRAL
O000139,C00259,2024-06-15 13:32:27,SHIPPED,NORTH
O000140,C00462,2024-04-22 11:44:11,CANCELLED,CENTRAL
O000141,C00061,2023-03-14 09:11:12,SHIPPED,CENTRAL
O000142,C00001,2024-11-27 16:42:47,DELIVERED,WEST
O000143,C00190,10-11-2024,DELIVERED,SOUTH
O000144,C00247,2024-09-05 06:22:58,DELIVERED,CENTRAL
O000145,C00069,2023-07-17 16:33:35,SHIPPED,NORTH
O000146,C00449,2024-02-27 07:52:51,SHIPPED,NORTH
O000147,C00061,08-02-2024,DELIVERED,EAST
O000148,C00055,2023-05-01 05:16:54,DELIVERED,EAST
O000149,C00217,2024-03-14 14:12:58,DELIVERED,WEST
O000150,C00212,2024-03-04 19:58:55,DELIVERED,EAST
O000151,C00248,2023-07-17 02:45:29,DELIVERED,WEST
O000152,C00438,2024-11-01 22:58:05,DELIVERED,WEST
O000153,C00487,2023-05-06 16:04:46,DELIVERED,EAST
O000154,C00315,2024-06-25 10:05:30,PLACED,WEST
O000155,C00003,2024-09-16 18:31:54,SHIPPED,CENTRAL
O000156,C00033,2023-07-24 08:23:25,PLACED,NORTH
O000157,C00477,2023-11-08 04:33:41,DELIVERED,CENTRAL
O000158,C00397,2024-09-29 02:10:18,DELIVERED,NORTH
O000159,C00337,2024-12-23 22:35:43,DELIVERED,NORTH
O000160,C00262,2024-02-05 15:27:46,DELIVERED,NORTH
O000161,C00336,2023-01-01 05:21:18,PLACED,EAST
O000162,C00181,2024-06-04 03:24:19,DELIVERED,CENTRAL
O000163,,2024-06-30 12:27:48,PLACED,EAST
O000164,C00287,2024-12-11 17:00:12,DELIVERED,EAST
O000165,C00494,2023-06-01 02:12:44,DELIVERED,NORTH
O000166,C00209,2024-01-29 04:57:43,PLACED,EAST
O000167,C00060,2024-09-15 15:55:41,DELIVERED,CENTRAL
O000168,C00295,2023-07-14 06:58:31,RETURNED,CENTRAL
O000169,C00125,2024-08-11 08:19:31,DELIVERED,WEST
O000170,C00442,2023-01-22 05:51:14,DELIVERED,WEST
O000171,C00113,2024-06-09 18:34:20,CANCELLED,WEST
O000172,C00265,21-02-2024,CANCELLED,SOUTH
O000173,C00205,2024-06-07 06:38:21,DELIVERED,CENTRAL
O000174,C00244,2023-09-01 19:00:45,CANCELLED,EAST
O000175,C00383,2024-06-14 14:02:35,SHIPPED,SOUTH
O000176,C00124,2024-11-08 21:05:57,SHIPPED,SOUTH
O000177,C00183,2023-05-02 03:58:05,SHIPPED,NORTH
O000178,C00340,2024-01-18 15:56:19,DELIVERED,CENTRAL
O000179,C00435,2024-01-10 14:34:33,DELIVERED,CENTRAL
O000180,C00252,2023-05-23 00:58:42,CANCELLED,EAST
O000181,C00385,2024-03-23 21:49:05,DELIVERED,WEST
O000182,C00277,2023-01-26 07:00:42,DELIVERED,SOUTH
O000183,C00062,2024-06-26 08:13:19,DELIVERED,NORTH
O000184,,2023-06-13 16:42:33,SHIPPED,EAST
O000185,C00133,2023-05-26 08:46:27,SHIPPED,WEST
O000186,C00176,2023-10-12 05:19:14,DELIVERED,WEST
O000187,C00191,2023-10-11 13:32:48,DELIVERED,SOUTH
O000188,C00295,2024-06-16 20:11:20,PLACED,EAST
O000189,C00285,2023-12-02 17:08:29,SHIPPED,SOUTH
O000190,C00005,2023-05-18 04:11:53,SHIPPED,CENTRAL
O000191,C00162,2024-09-01 23:40:01,DELIVERED,CENTRAL
O000192,,2023-03-18 21:01:26,PLACED,EAST
O000193,C00323,2023-03-16 19:11:50,DELIVERED,EAST
O000194,C00286,2024-12-24 18:50:30,DELIVERED,WEST
O000195,C00445,2024-06-11 20:23:54,SHIPPED,CENTRAL
O000196,C00276,2023-05-16 13:38:22,DELIVERED,EAST
O000197,C00250,2024-08-24 18:16:54,CANCELLED,WEST
O000198,C00238,2024-05-05 15:58:07,CANCELLED,EAST
O000199,C00314,2024-03-20 00:05:48,CANCELLED,NORTH
O000200,C00117,2023-09-01 11:43:45,DELIVERED,EAST
O000201,C00203,2023-07-30 16:25:51,DELIVERED,EAST
O000202,C00267,2023-12-16 17:59:20,SHIPPED,NORTH
O000203,C00121,2024-05-29 04:59:41,DELIVERED,NORTH
O000204,C00204,2023-03-22 00:13:58,RETURNED,WEST
O000205,C00014,2024-08-21 19:14:45,DELIVERED,NORTH
O000206,C00317,2023-05-01 14:31:26,RETURNED,WEST
O000207,C00127,2024-07-26 21:44:03,DELIVERED,SOUTH
O000208,C00088,23-01-2023,DELIVERED,EAST
O000209,C00240,2024-11-07 10:43:13,DELIVERED,WEST
O000210,C00486,2024-06-25 20:37:58,DELIVERED,WEST
O000211,C00326,2024-11-12 09:56:24,DELIVERED,CENTRAL
O000212,C00178,2024-01-10 02:38:17,CANCELLED,WEST
O000213,C00212,2023-07-21 19:09:15,PLACED,CENTRAL
O000214,C00435,2023-04-16 20:49:28,DELIVERED,NORTH
O000215,C00252,2024-08-09 19:01:54,PLACED,WEST
O000216,C00306,2023-06-29 14:10:02,DELIVERED,SOUTH
O000217,C00288,2023-12-06 12:15:11,SHIPPED,WEST
O000218,C00113,2023-07-24 06:18:27,DELIVERED,CENTRAL
O000219,C00466,2024-04-21 07:10:43,DELIVERED,EAST
O000220,C00273,2024-09-20 05:17:09,SHIPPED,NORTH
O000221,C00149,2023-03-27 17:11:29,DELIVERED,EAST
O000222,C00252,2023-05-26 20:38:56,SHIPPED,CENTRAL
O000223,,2023-03-21 10:30:57,SHIPPED,WEST
O000224,C00120,2023-03-12 01:23:37,DELIVERED,EAST
O000225,C00403,2024-09-12 23:03:30,DELIVERED,NORTH
O000226,C00432,2024-08-05 23:37:51,PLACED,WEST
O000227,C00241,2023-05-22 01:20:20,CANCELLED,WEST
O000228,C00063,2024-08-19 15:16:23,DELIVERED,WEST
O000229,C00018,2023-06-04 16:58:55,DELIVERED,CENTRAL
O000230,C00107,2024-01-03 06:06:25,RETURNED,EAST
O000231,C00373,2023-02-02 18:24:08,DELIVERED,NORTH
O000232,C00327,2023-08-21 02:16:46,CANCELLED,SOUTH
O000233,C00121,2024-05-06 14:16:41,PLACED,EAST
O000234,C00203,2024-09-04 22:42:22,RETURNED,CENTRAL
O000235,C00244,2024-06-18 16:49:40,DELIVERED,NORTH
O000236,C00256,2023-03-12 23:50:54,DELIVERED,NORTH
O000237,C00331,2023-04-30 13:14:51,DELIVERED,SOUTH
O000238,C00163,2024-03-09 16:24:23,DELIVERED,WEST
O000239,C00011,2024-06-19 08:33:03,DELIVERED,EAST
O000240,C00249,2024-07-02 20:27:46,DELIVERED,WEST
O000241,C00096,2024-02-27 05:49:17,DELIVERED,EAST
O000242,C00307,2024-12-11 07:01:51,SHIPPED,CENTRAL
O000243,C00152,2024-09-28 11:04:08,DELIVERED,NORTH
O000244,C00260,2023-10-22 09:53:03,CANCELLED,CENTRAL
O000245,C00398,2024-04-26 17:18:57,DELIVERED,CENTRAL
O000246,C00098,2024-02-12 01:22:06,DELIVERED,SOUTH
O000247,C00166,2023-11-15 07:18:36,SHIPPED,CENTRAL
O000248,C00023,2024-10-10 17:07:57,SHIPPED,NORTH
O000249,C00249,2023-05-29 19:59:35,DELIVERED,WEST
O000250,C00270,2024-04-29 15:39:10,DELIVERED,EAST
O000251,C00368,25-02-2023,RETURNED,WEST
O000252,C00427,2023-03-04 02:30:10,DELIVERED,EAST
O000253,C00481,2024-11-22 14:49:46,DELIVERED,NORTH
O000254,C00137,15-02-2024,PLACED,EAST
O000255,C00111,2024-02-08 11:54:26,DELIVERED,CENTRAL
O000256,C00099,2024-02-13 16:55:48,DELIVERED,SOUTH
O000257,C00286,2023-11-19 11:36:06,DELIVERED,CENTRAL
O000258,C00235,2024-06-29 16:29:20,CANCELLED,SOUTH
O000259,C00282,2023-11-08 21:34:05,DELIVERED,CENTRAL
O000260,C00227,2024-12-26 02:04:24,DELIVERED,EAST
O000261,C00212,2024-08-16 13:25:44,CANCELLED,EAST
O000262,C00289,2024-02-28 19:12:37,DELIVERED,EAST
O000263,C00232,2023-12-14 14:00:02,PLACED,NORTH
O000264,C00306,2023-01-13 15:53:58,RETURNED,EAST
O000265,,2023-06-22 08:16:04,DELIVERED,EAST
O000266,C00262,2024-03-08 02:36:50,DELIVERED,NORTH
O000267,,2023-10-04 05:54:13,DELIVERED,CENTRAL
O000268,C00132,2024-09-21 23:31:10,DELIVERED,CENTRAL
O000269,C00376,2023-03-01 23:08:29,DELIVERED,SOUTH
O000270,C00461,2024-06-19 14:59:03,CANCELLED,NORTH
O000271,C00154,2023-01-30 00:39:25,DELIVERED,NORTH
O000272,C00472,2024-08-21 18:38:44,CANCELLED,WEST
O000273,C00445,2023-04-04 15:02:17,SHIPPED,CENTRAL
O000274,C00325,2024-08-26 20:08:00,PLACED,CENTRAL
O000275,,2024-02-24 09:01:10,DELIVERED,SOUTH
O000276,C00345,2024-07-22 05:36:46,RETURNED,CENTRAL
O000277,C00047,2023-06-22 11:58:34,DELIVERED,SOUTH
O000278,C00043,2024-01-05 14:34:25,PLACED,WEST
O000279,C00205,2024-01-25 18:39:39,DELIVERED,SOUTH
O000280,C00102,2024-01-14 22:23:24,DELIVERED,CENTRAL
O000281,C00377,2024-02-12 04:41:13,PLACED,WEST
O000282,C00474,2024-03-23 09:45:29,DELIVERED,WEST
O000283,C00098,2023-09-07 02:59:47,DELIVERED,EAST
O000284,C00180,2024-04-23 15:11:30,CANCELLED,CENTRAL
O000285,C00023,2024-12-18 20:34:58,SHIPPED,EAST
O000286,C00373,2024-10-24 08:40:33,DELIVERED,SOUTH
O000287,C00475,2023-04-25 16:54:00,CANCELLED,NORTH
O000288,C00412,2023-03-28 10:22:19,DELIVERED,EAST
O000289,C00276,2023-06-14 13:38:31,DELIVERED,EAST
O000290,C00319,2024-07-20 22:45:42,DELIVERED,NORTH
O000291,C00464,2024-05-30 09:03:53,DELIVERED,NORTH
O000292,C00405,2024-06-25 00:11:54,PLACED,NORTH
O000293,C00339,2023-07-30 17:35:31,CANCELLED,EAST
O000294,C00010,2023-08-16 04:30:45,DELIVERED,SOUTH
O000295,C00261,2024-07-05 05:33:29,DELIVERED,CENTRAL
O000296,C00096,2023-06-04 11:18:08,DELIVERED,NORTH
O000297,,2024-12-17 08:21:39,DELIVERED,WEST
O000298,C00010,2023-09-27 08:26:45,DELIVERED,EAST
O000299,C00257,2023-08-03 06:44:37,DELIVERED,WEST
O000300,C00418,2023-01-23 21:17:02,RETURNED,SOUTH
O000301,C00460,2023-11-02 03:11:28,PLACED,WEST
O000302,C00348,2024-04-20 16:51:55,DELIVERED,WEST
O000303,C00079,2023-11-28 05:53:01,CANCELLED,EAST
O000304,C00068,2023-06-10 14:14:05,DELIVERED,SOUTH
O000305,C00159,2024-06-18 19:10:06,DELIVERED,SOUTH
O000306,C00466,2024-08-21 02:46:20,RETURNED,SOUTH
O000307,C00286,2024-02-18 23:07:23,SHIPPED,EAST
O000308,C00075,18-07-2024,DELIVERED,WEST
O000309,C00156,2023-12-11 02:12:07,CANCELLED,EAST
O000310,C00097,2023-03-24 22:21:49,PLACED,CENTRAL
O000311,C00311,2024-03-16 10:26:57,DELIVERED,SOUTH
O000312,C00184,2023-03-03 17:31:45,DELIVERED,CENTRAL
O000313,C00241,2024-07-07 00:59:54,SHIPPED,WEST
O000314,C00071,2023-05-08 05:11:57,PLACED,NORTH
O000315,C00487,2023-11-17 19:41:55,DELIVERED,SOUTH
O000316,C00034,2023-05-18 12:58:36,RETURNED,CENTRAL
O000317,C00167,2024-11-04 05:51:19,SHIPPED,WEST
O000318,C00312,2024-07-25 03:34:40,DELIVERED,WEST
O000319,C00381,2024-03-20 05:37:51,DELIVERED,NORTH
O000320,C00232,2023-12-21 21:14:28,PLACED,SOUTH
O000321,C00203,25-07-2024,DELIVERED,NORTH
O000322,C00226,2023-11-06 04:00:04,DELIVERED,EAST
O000323,C00217,2023-08-17 16:22:53,PLACED,CENTRAL
O000324,C00238,2024-10-06 14:20:10,PLACED,CENTRAL
O000325,C00399,2024-03-30 17:32:11,DELIVERED,SOUTH
O000326,C00166,17-12-2023,DELIVERED,SOUTH
O000327,C00047,2023-07-14 05:52:18,DELIVERED,SOUTH
O000328,C00064,2023-03-12 19:55:40,DELIVERED,EAST
O000329,C00363,2023-10-26 07:54:27,RETURNED,CENTRAL
O000330,C00194,2024-03-03 11:11:27,DELIVERED,EAST
O000331,C00338,2024-11-01 01:22:50,CANCELLED,SOUTH
O000332,C00027,2023-11-22 21:34:10,DELIVERED,WEST
O000333,C00093,2023-04-02 07:21:53,RETURNED,NORTH
O000334,C00130,2023-01-10 11:34:09,CANCELLED,CENTRAL
O000335,C00312,2024-11-16 14:46:30,SHIPPED,WEST
O000336,C00227,2023-03-03 16:12:53,PLACED,CENTRAL
O000337,C00322,2024-03-09 01:27:36,SHIPPED,SOUTH
O000338,C00335,29-09-2023,CANCELLED,CENTRAL
O000339,C00153,2023-09-15 04:21:28,PLACED,WEST
O000340,C00083,2024-06-06 00:40:29,DELIVERED,CENTRAL
O000341,C00288,2023-05-18 19:20:05,DELIVERED,EAST
O000342,C00048,2024-08-19 22:06:06,DELIVERED,WEST
O000343,C00389,2023-11-28 21:53:37,PLACED,WEST
O000344,C00356,2024-10-29 12:31:30,DELIVERED,CENTRAL
O000345,C00108,20-04-2024,DELIVERED,CENTRAL
O000346,C00248,2024-07-16 09:43:12,RETURNED,EAST
O000347,C00435,2023-09-03 19:46:27,DELIVERED,CENTRAL
O000348,C00067,2024-04-22 03:11:42,DELIVERED,WEST
O000349,C00093,2024-11-17 08:41:05,DELIVERED,SOUTH
O000350,,2023-01-19 15:08:46,DELIVERED,SOUTH
O000351,C00213,18-11-2023,DELIVERED,SOUTH
O000352,,2023-06-06 06:24:00,DELIVERED,NORTH
O000353,C00260,2024-03-03 04:37:25,PLACED,EAST
O000354,C00371,2024-03-17 21:27:58,PLACED,SOUTH
O000355,C00427,2023-09-20 11:35:58,DELIVERED,WEST
O000356,C00331,2023-04-16 10:38:09,DELIVERED,CENTRAL
O000357,C00237,2024-08-31 22:36:53,RETURNED,NORTH
O000358,C00154,2024-03-14 19:17:38,DELIVERED,CENTRAL
O000359,,2024-03-24 11:28:19,DELIVERED,EAST
O000360,C00077,2023-08-06 20:09:13,DELIVERED,WEST
O000361,C00432,2023-05-09 21:53:43,DELIVERED,CENTRAL
O000362,C00401,2024-08-06 17:43:29,CANCELLED,NORTH
O000363,C00045,2024-01-22 01:45:58,DELIVERED,EAST
O000364,C00155,2023-05-16 22:28:26,DELIVERED,SOUTH
O000365,C00228,29-01-2024,DELIVERED,CENTRAL
O000366,C00175,2024-12-18 09:50:14,CANCELLED,EAST
O000367,C00074,2024-08-20 16:10:22,CANCELLED,CENTRAL
O000368,C00068,2023-06-09 08:57:53,DELIVERED,CENTRAL
O000369,C00160,25-12-2024,CANCELLED,NORTH
O000370,C00456,2023-02-05 20:06:27,DELIVERED,EAST
O000371,,2024-08-12 03:20:58,CANCELLED,EAST
O000372,C00147,2023-08-03 21:07:16,DELIVERED,NORTH
O000373,C00081,2023-08-01 12:57:40,RETURNED,CENTRAL
O000374,C00106,2024-02-26 09:28:05,DELIVERED,SOUTH
O000375,C00412,2023-08-09 00:29:33,SHIPPED,EAST
O000376,C00174,2024-02-24 21:05:15,SHIPPED,WEST
O000377,C00026,2023-03-24 06:37:15,PLACED,WEST
O000378,C00306,2024-11-23 06:35:12,CANCELLED,WEST
O000379,C00160,2023-09-16 03:07:09,DELIVERED,CENTRAL
O000380,C00473,2024-08-10 00:04:09,DELIVERED,NORTH
O000381,C00471,2024-06-26 14:50:12,DELIVERED,WEST
O000382,C00486,2023-06-23 19:49:51,CANCELLED,EAST
O000383,C00201,2023-05-23 09:56:56,DELIVERED,EAST
O000384,C00016,2023-02-20 18:29:44,DELIVERED,WEST
O000385,C00145,2024-08-19 11:28:02,DELIVERED,CENTRAL
O000386,C00419,2024-07-08 19:00:55,DELIVERED,NORTH
O000387,C00273,2023-12-25 01:11:38,DELIVERED,CENTRAL
O000388,C00082,2024-01-10 16:06:55,DELIVERED,CENTRAL
O000389,C00223,2024-03-16 13:34:58,DELIVERED,SOUTH
O000390,C00343,2023-03-02 12:03:24,DELIVERED,WEST
O000391,C00306,2023-12-26 13:14:19,PLACED,WEST
O000392,C00490,2023-11-12 04:32:34,SHIPPED,CENTRAL
O000393,C00195,2023-09-12 07:19:55,DELIVERED,NORTH
O000394,C00072,2024-11-20 03:45:13,DELIVERED,NORTH
O000395,C00339,2023-04-26 21:35:45,DELIVERED,CENTRAL
O000396,C00101,2023-06-09 17:48:41,DELIVERED,CENTRAL
O000397,C00348,2023-08-25 13:13:33,RETURNED,EAST
O000398,C00299,2023-01-07 07:21:13,DELIVERED,SOUTH
O000399,C00032,2023-10-14 18:48:48,RETURNED,NORTH
O000400,C00421,2023-10-07 00:48:19,DELIVERED,NORTH
O000401,C00360,2024-04-03 09:27:07,DELIVERED,WEST
O000402,C00223,2024-02-28 09:45:02,SHIPPED,SOUTH
O000403,C00197,2024-10-17 00:46:01,CANCELLED,SOUTH
O000404,C00447,2024-06-04 10:56:13,PLACED,NORTH
O000405,C00454,2024-01-14 00:46:13,RETURNED,SOUTH
O000406,C00329,2024-09-17 23:50:26,DELIVERED,CENTRAL
O000407,C00320,2023-05-20 15:39:57,DELIVERED,WEST
O000408,C00116,2023-05-25 07:23:45,PLACED,WEST
O000409,C00122,2024-07-07 03:03:55,DELIVERED,CENTRAL
O000410,C00018,2023-01-30 09:51:19,DELIVERED,NORTH
O000411,C00493,2024-06-20 07:48:07,DELIVERED,CENTRAL
O000412,C00385,2024-08-27 23:11:08,DELIVERED,CENTRAL
O000413,C00046,2023-07-10 11:26:34,DELIVERED,NORTH
O000414,C00277,2024-09-11 21:37:46,DELIVERED,EAST
O000415,C00006,2023-12-31 04:20:53,CANCELLED,CENTRAL
O000416,C00216,2023-10-02 02:48:13,DELIVERED,EAST
O000417,C00356,2024-12-17 19:26:29,DELIVERED,CENTRAL
O000418,C00323,2024-01-03 12:21:05,DELIVERED,EAST
O000419,C00320,2023-01-22 04:52:23,PLACED,CENTRAL
O000420,C00402,2023-08-04 19:28:37,DELIVERED,EAST
O000421,C00008,2024-07-29 21:14:29,SHIPPED,CENTRAL
O000422,C00338,2023-12-13 22:13:06,SHIPPED,SOUTH
O000423,C00410,2024-02-14 15:14:26,DELIVERED,NORTH
O000424,C00305,2024-12-26 09:56:16,CANCELLED,WEST
O000425,C00122,2024-05-28 03:43:51,DELIVERED,SOUTH
O000426,C00432,26-09-2023,DELIVERED,NORTH
O000427,C00238,2023-11-06 17:08:30,DELIVERED,CENTRAL
O000428,C00350,2024-07-02 01:28:58,DELIVERED,CENTRAL
O000429,C00007,2023-08-13 07:28:37,DELIVERED,EAST
