category,product_name,total_revenue,rank_in_category
Clothing,Both Kid Ago,56879.27,88
Clothing,Shoulder Men Raise,56479.16,89
Clothing,Local Footwear Support,55963.14,90
Clothing,West Women Establish,54947.6,91
Clothing,Without Women Morning,53259.79,92
Clothing,Candidate Men Sport,48396.82,93
Clothing,Produce Kid Attorney,47959.42,94
Clothing,Often Men Baby,47306.4,95
Clothing,Dinner Women Lot,43180.81,96
Clothing,Stop Winterwear Rich,42725.19,97
Clothing,Candidate Women Analysis,42479.44,98
Clothing,Shake Men Fear,41749.77,99
Clothing,Level Women Themselves,39738.44,100
Clothing,Worry Footwear On,39498.63,101
Clothing,Fill Kid Right,33296.67,102
Clothing,Teacher Winterwear Career,32896.08,103
Clothing,Moment Winterwear Likely,32842.6,104
Clothing,Catch Kid Development,29717.48,105
Clothing,Science Women Officer,28906.98,106
Clothing,Two Women Among,27812.58,107
Clothing,Arm Women Could,23191.22,108
Clothing,Least Kid Factor,22044.71,109
Clothing,Let Footwear Any,9987.27,110
Clothing,Rock Women Still,8374.77,111
Clothing,Short Footwear Energy,6681.07,112
Clothing,School Women Certain,5750.31,113
Clothing,Movement Kid Program,3000.62,114
Clothing,Class Winterwear Without,1599.98,115
Clothing,Glass Men Always,-2459.45,116
Clothing,It Footwear Both,-10331.74,117
Electronics,Skin Laptop Rich,412289.16,1
Electronics,Study Accessorie Enter,357651.74,2
Electronics,Speech Accessorie House,355302.45,3
Electronics,Bad Laptop Society,308996.01,4
Electronics,Rich Camera Professor,306871.57,5
Electronics,Stuff Headphone Trial,303363.09,6
Electronics,Certainly Camera Record,288971.86,7
Electronics,Machine Camera Series,277211.26,8
Electronics,Do Laptop Seem,266688.03,9
Electronics,Continue Laptop Race,257735.08,10
Electronics,Anything Headphone Road,257049.82,11
Electronics,Watch Laptop Community,253509.89,12
Electronics,Movie Camera Like,248049.21,13
Electronics,She Mobile Partner,244120.67,14
Electronics,Look Laptop Glass,242313.77,15
Electronics,Itself Laptop Also,241006.27,16
Electronics,Consumer Laptop Side,238643.49,17
Electronics,Situation Camera Set,229904.44,18
Electronics,Ok Camera Boy,219447.16,19
Electronics,Later Mobile Family,209619.94,20
Electronics,Tough Laptop Fill,208857.26,21
Electronics,Security Laptop Raise,204038.53,22
Electronics,Anything Headphone Recently,200882.21,23
Electronics,Yes Laptop Three,199143.01,24
Electronics,Yard Laptop Away,192270.25,25
Electronics,Nature Headphone Expect,191836.16,26
Electronics,Movement Mobile Dog,190012.27,27
Electronics,Rather Accessorie Structure,184344.85,28
Electronics,Blood Accessorie Recognize,184340.46,29
Electronics,Remember Mobile Per,182465.37,30
Electronics,Recent Accessorie Allow,180423.92,31
Electronics,President Laptop Plan,179790.41,32
Electronics,Radio Laptop Technology,179755.61,33
Electronics,Together Headphone Arm,177884.9,34
Electronics,Clear Laptop Among,175270.46,35
Electronics,Accept Headphone Page,174784.25,36
Electronics,Drive Mobile Whether,170577.67,37
Electronics,Eye Accessorie Information,166285.96,38
Electronics,Discussion Laptop Create,165697.76,39
Electronics,School Laptop Thus,164292.44,40
Electronics,Put Accessorie Image,162475.9,41
Electronics,Rise Accessorie School,157303.6,42
Electronics,Record Mobile Glass,156905.35,43
Electronics,Claim Laptop Others,154171.47,44
Electronics,Itself Laptop Play,153685.96,45
Electronics,Perform Accessorie Mother,152242.14,46
Electronics,Describe Laptop Note,149647.1,47
Electronics,Property Accessorie Third,144019.31,48
Electronics,Beautiful Camera Yourself,143680.91,49
Electronics,Behavior Accessorie Tough,143284.37,50
Electronics,Gun Mobile Financial,138566.74,51
Electronics,Cost Mobile Result,137987.76,52
Electronics,College Camera Create,137691.4,53
Electronics,Focus Camera Develop,136993.03,54
Electronics,Ready Camera Affect,128858.66,55
Electronics,Easy Mobile Black,128382.26,56
Electronics,Build Mobile Imagine,126383.22,57
Electronics,Above Accessorie Form,126267.47,58
Electronics,Of Camera Wall,123857.92,59
Electronics,Before Mobile Father,118404.65,60
Electronics,Story Accessorie Reveal,116237.37,61
Electronics,Ok Camera Ever,112435.07,62
Electronics,Arm Laptop Technology,111817.92,63
Electronics,Open Mobile Avoid,111797.52,64
Electronics,International Accessorie Best,110067.06,65
Electronics,See Mobile Key,108115.2,66
Electronics,Whether Accessorie Cost,104848.26,67
Electronics,Pay Mobile Meeting,104576.88,68
Electronics,Project Laptop Director,101666.74,69
Electronics,Relate Camera Half,100889.17,70
Electronics,Wait Laptop Case,97615.63,71
Electronics,Sister Laptop Put,97075.79,72
Electronics,Successful Laptop Our,96504.48,73
Electronics,Different Camera Treatment,94359.52,74
Electronics,Himself Mobile That,93657.28,75
Electronics,The Camera Open,93255.05,76
Electronics,Dog Camera Three,89915.1,77
Electronics,Find Accessorie Democrat,89787.86,78
Electronics,Them Laptop Scientist,88839.94,79
Electronics,Class Headphone Agent,87139.34,80
Electronics,Very Laptop Who,86403.71,81
Electronics,Window Mobile Movie,86170.96,82
Electronics,Hold Headphone Someone,83880.33,83
Electronics,Heavy Accessorie Career,83662.13,84
Electronics,Business Accessorie Beyond,83066.1,85
Electronics,Value Camera Full,82432.4,86
Electronics,Prepare Headphone Buy,78026.86,87
Electronics,Remain Camera Reality,73360.55,88
Electronics,Cell Headphone Certainly,71772.57,89
Electronics,Something Camera Skill,70315.13,90
Electronics,Entire Accessorie Matter,68234.98,91
Electronics,Life Mobile Husband,66729.45,92
Electronics,Including Camera Dog,63722.06,93
Electronics,Kitchen Headphone Recently,61888.16,94
Electronics,Performance Mobile Meeting,61284.38,95
Electronics,Together Mobile Fill,59878.95,96
Electronics,Model Laptop Whether,58841.94,97
Electronics,Anything Headphone Phone,58746.79,98
Electronics,Step Accessorie Second,58086.63,99
Electronics,Page Accessorie Line,55330.16,100
Electronics,Politics Camera Decision,54034.0,101
Electronics,Establish Camera Now,52625.06,102
Electronics,Hour Mobile Activity,52165.44,103
Electronics,Big Headphone Computer,47966.96,104
Electronics,Present Camera Beyond,44335.56,105
Electronics,A Camera That,35505.64,106
Electronics,System Laptop Four,34924.42,107
Electronics,Trouble Laptop Statement,31310.11,108
Electronics,Soldier Headphone Range,30934.62,109
Electronics,See Camera Business,28769.86,110
Electronics,Apply Laptop Black,26334.76,111
Electronics,Main Camera Quite,23371.79,112
Electronics,Arrive Mobile Decision,23061.59,113
Electronics,None Mobile Feeling,20991.7,114
Electronics,Style Accessorie You,19130.21,115
Electronics,Unit Accessorie Site,19123.9,116
Electronics,Work Mobile Process,18314.92,117
Electronics,Church Laptop Those,17416.72,118
Electronics,Fall Headphone Apply,16866.73,119
Electronics,What Headphone Bring,12091.56,120
Electronics,Note Accessorie Officer,11160.89,121
Electronics,Race Headphone Today,10316.71,122
Electronics,Fund Mobile Mother,4844.25,123
Electronics,They Accessorie Entire,-40353.84,124
Electronics,Find Mobile College,-67560.31,125
Home,Unit Bedding Significant,423263.02,1
Home,Onto Kitchen Often,356876.75,2
Home,My Decor Call,266333.45,3
Home,Message Decor Animal,265833.85,4
Home,Upon Storage If,261244.79,5
Home,Very Bedding Its,256575.99,6
Home,Still Kitchen Style,252743.48,7
Home,State Decor Much,250960.93,8
Home,Bad Decor Several,244604.77,9
Home,Financial Bedding List,239687.96,10
Home,Collection Storage Body,238670.21,11
Home,Wait Kitchen Position,237355.96,12
Home,Loss Furniture Growth,217062.95,13
Home,Born Storage Figure,205045.87,14
Home,Include Furniture Style,202387.13,15
Home,Remember Decor Cause,200836.82,16
Home,Put Bedding Service,198983.83,17
Home,Vote Kitchen Sport,198937.56,18
Home,Smile Bedding Music,198892.55,19
Home,Oil Kitchen Question,198435.35,20
Home,Challenge Storage Vote,196295.89,21
Home,Bad Kitchen Culture,195964.58,22
Home,Indicate Kitchen Term,191087.4,23
Home,Deal Decor Cup,189168.72,24
Home,Add Bedding Necessary,188057.64,25
Home,Blue Bedding Power,176817.54,26
Home,Voice Storage Answer,176634.29,27
Home,Receive Kitchen Follow,174370.51,28
Home,Guy Decor Development,168861.98,29
Home,Professor Decor Interview,166745.71,30
Home,Nor Bedding According,165558.41,31
Home,Together Furniture Increase,163871.25,32
Home,Use Storage Different,163179.23,33
Home,Cause Storage Safe,151681.45,34
Home,Feel Storage President,149722.78,35
Home,Score Storage It,148432.3,36
Home,Seek Bedding Since,148348.62,37
Home,Or Bedding Design,148110.8,38
Home,Thing Bedding Image,146302.72,39
Home,Degree Decor Pressure,145707.83,40
Home,Sister Kitchen Or,143671.48,41
Home,Matter Bedding Close,139880.73,42
Home,Nation Decor Term,138413.62,43
Home,Realize Furniture Himself,136691.42,44
Home,Star Decor Everyone,129629.75,45
Home,Deep Storage Determine,128768.58,46
Home,Policy Decor Beat,126237.46,47
Home,Trip Storage Republican,126216.14,48
Home,Radio Bedding Conference,126185.28,49
Home,Time Furniture Manager,125229.71,50
Home,Officer Furniture Nearly,124432.18,51
Home,Stock Storage College,118464.96,52
Home,What Decor Although,110305.83,53
Home,None Furniture Discussion,108106.79,54
Home,Song Bedding Reason,107969.18,55
Home,Your Storage Bed,107172.71,56
Home,Happy Decor Do,106111.95,57
Home,Spring Kitchen Note,105555.32,58
Home,Understand Kitchen Media,104780.21,59
Home,Property Decor Sea,104127.91,60
Home,Future Kitchen Picture,102743.81,61
Home,Represent Furniture Small,100790.45,62
Home,Institution Storage Instead,98301.8,63
Home,Effect Decor Give,93483.65,64
Home,At Decor Every,93013.66,65
Home,Air Kitchen Travel,92457.04,66
Home,Natural Furniture Necessary,92312.24,67
Home,Course Storage Popular,89185.02,68
Home,Thought Bedding Fast,87097.34,69
Home,Last Furniture Single,85848.4,70
Home,Available Bedding We,84904.22,71
Home,Give Furniture Man,84765.54,72
Home,Record Decor Require,81294.2,73
Home,Sort Furniture He,79980.63,74
Home,Worker Decor Medical,78807.1,75
Home,Down Storage Which,77807.63,76
Home,Environmental Bedding Popular,76830.83,77
Home,Traditional Storage Truth,75002.89,78
Home,Nothing Kitchen Debate,74983.95,79
Home,Form Storage Old,72972.23,80
Home,Actually Decor Sea,71448.36,81
Home,Way Storage Book,69874.32,82
Home,Some Furniture Number,69127.0,83
Home,Arm Decor Activity,66847.6,84
Home,Network Decor Speak,66781.57,85
Home,Pretty Kitchen Either,60602.49,86
Home,Near Kitchen Author,56618.71,87
Home,Able Furniture Add,56342.15,88
Home,Shake Kitchen Other,55730.0,89
Home,Our Decor His,53520.61,90
Home,Door Bedding Relationship,53006.15,91
Home,Mean Bedding Such,50280.24,92
Home,Kid Furniture Then,49767.57,93
Home,Her Decor Population,49639.92,94
Home,Resource Storage Left,46953.41,95
Home,Better Furniture Hotel,46035.43,96
Home,Stop Furniture Mouth,45950.52,97
Home,Rule Decor Pattern,45804.41,98
Home,Quickly Storage During,44873.48,99
Home,Center Kitchen Moment,44269.71,100
Home,Message Decor Give,40497.37,101
Home,Act Furniture Together,34387.44,102
Home,Box Bedding Ready,33130.26,103
Home,Treatment Furniture Door,30888.72,104
Home,Ground Decor Box,29163.04,105
Home,Positive Furniture Why,26467.12,106
Home,Material Storage Sense,26014.66,107
Home,Fine Storage Water,22907.02,108
Home,Science Bedding Claim,22370.17,109
Home,Reveal Decor Language,21996.76,110
Home,On Bedding Worry,21445.37,111
Home,Human Storage Interesting,20891.02,112
Home,Especially Kitchen Accept,19485.01,113
Home,Bar Bedding Machine,6758.03,114
Home,Everyone Decor Similar,506.96,115
Home,Various Furniture Produce,-8053.91,116
Home,Research Kitchen Form,-24116.56,117
Home,Born Bedding Answer,-33360.2,118
