region_code,order_date,daily_revenue,running_total
NORTH,2023-08-28,69908.36,4245035.28
NORTH,2023-08-31,44022.07,4289057.35
NORTH,2023-09-07,27303.44,4316360.8
NORTH,2023-09-12,217996.53,4534357.33
NORTH,2023-09-13,159688.11,4694045.44
NORTH,2023-09-16,160687.97,4854733.41
NORTH,2023-09-20,53017.66,4907751.07
NORTH,2023-09-23,285563.79,5193314.86
NORTH,2023-09-26,17227.22,5210542.08
NORTH,2023-10-06,1149.15,5211691.22
NORTH,2023-10-07,279657.72,5491348.94
NORTH,2023-10-12,-110340.39,5381008.56
NORTH,2023-10-13,17756.08,5398764.64
NORTH,2023-10-14,255324.27,5654088.91
NORTH,2023-10-15,21675.72,5675764.63
NORTH,2023-10-24,80061.55,5755826.18
NORTH,2023-10-25,62288.9,5818115.08
NORTH,2023-10-26,187540.14,6005655.23
NORTH,2023-11-22,232700.2,6238355.43
NORTH,2023-11-26,29827.52,6268182.95
NORTH,2023-12-03,10098.9,6278281.85
NORTH,2023-12-08,253341.99,6531623.84
NORTH,2023-12-13,43691.61,6575315.45
NORTH,2023-12-14,36570.09,6611885.54
NORTH,2023-12-16,13760.13,6625645.67
NORTH,2023-12-19,64901.21,6690546.88
NORTH,2023-12-21,54332.57,6744879.45
NORTH,2023-12-26,21773.38,6766652.83
NORTH,2024-01-03,82903.48,6849556.31
NORTH,2024-01-05,134865.72,6984422.03
NORTH,2024-01-12,134912.65,7119334.67
NORTH,2024-01-17,36621.23,7155955.9
NORTH,2024-01-19,140723.17,7296679.07
NORTH,2024-02-03,24117.64,7320796.71
NORTH,2024-02-05,193072.76,7513869.46
NORTH,2024-02-13,148183.81,7662053.28
NORTH,2024-02-14,168797.07,7830850.34
NORTH,2024-02-17,74385.7,7905236.04
NORTH,2024-02-19,129143.83,8034379.87
NORTH,2024-02-27,75782.28,8110162.16
NORTH,2024-03-05,27438.78,8137600.94
NORTH,2024-03-09,274455.32,8412056.26
NORTH,2024-03-20,233145.83,8645202.09
NORTH,2024-03-21,160337.19,8805539.28
NORTH,2024-03-30,139417.32,8944956.6
NORTH,2024-04-04,130226.87,9075183.46
NORTH,2024-04-08,99660.07,9174843.54
NORTH,2024-04-19,72874.76,9247718.3
NORTH,2024-04-28,169499.31,9417217.61
NORTH,2024-05-04,69570.32,9486787.93
NORTH,2024-05-14,62360.93,9549148.86
NORTH,2024-05-15,80914.47,9630063.33
NORTH,2024-05-27,15651.8,9645715.13
NORTH,2024-05-29,31980.53,9677695.65
NORTH,2024-05-30,814.8,9678510.46
NORTH,2024-06-04,187934.52,9866444.97
NORTH,2024-06-06,62692.39,9929137.37
NORTH,2024-06-14,18836.03,9947973.39
NORTH,2024-06-15,89357.91,10037331.3
NORTH,2024-06-18,46473.47,10083804.77
NORTH,2024-06-19,56473.62,10140278.39
NORTH,2024-06-20,147576.56,10287854.95
NORTH,2024-06-22,26861.63,10314716.58
NORTH,2024-06-25,185650.59,10500367.17
NORTH,2024-06-26,167207.54,10667574.7
NORTH,2024-07-08,51157.0,10718731.7
NORTH,2024-07-12,96910.17,10815641.87
NORTH,2024-07-13,-12176.13,10803465.75
NORTH,2024-07-18,187988.85,10991454.59
NORTH,2024-07-20,31254.69,11022709.28
NORTH,2024-07-25,91640.56,11114349.84
NORTH,2024-07-27,87546.51,11201896.35
NORTH,2024-07-28,167937.79,11369834.14
NORTH,2024-08-06,54188.58,11424022.73
NORTH,2024-08-10,18468.03,11442490.76
NORTH,2024-08-21,29011.55,11471502.3
NORTH,2024-08-31,140692.07,11612194.37
NORTH,2024-09-12,89003.61,11701197.98
NORTH,2024-09-13,19376.15,11720574.13
NORTH,2024-09-20,28950.67,11749524.79
NORTH,2024-09-26,89177.11,11838701.9
NORTH,2024-09-28,7516.88,11846218.78
NORTH,2024-09-29,29774.56,11875993.34
NORTH,2024-10-20,81334.5,11957327.84
NORTH,2024-10-25,69268.46,12026596.29
NORTH,2024-10-29,62964.32,12089560.62
NORTH,2024-11-19,181179.96,12270740.58
NORTH,2024-11-20,29784.9,12300525.48
NORTH,2024-11-22,227091.25,12527616.73
NORTH,2024-12-05,141755.63,12669372.36
NORTH,2024-12-23,256787.99,12926160.34
NORTH,2024-12-25,318786.89,13244947.23
NORTH,2024-12-30,18527.42,13263474.65
SOUTH,2023-01-05,7357.93,7357.93
SOUTH,2023-01-07,24674.77,32032.71
SOUTH,2023-01-19,252326.38,284359.08
SOUTH,2023-01-20,120448.0,404807.09
SOUTH,2023-01-23,146955.98,551763.06
SOUTH,2023-01-25,86716.17,638479.23
SOUTH,2023-01-26,121398.41,759877.64
SOUTH,2023-02-06,129744.35,889621.98
SOUTH,2023-02-15,38748.37,928370.36
SOUTH,2023-02-20,52138.0,980508.36
SOUTH,2023-03-01,131772.75,1112281.11
SOUTH,2023-03-02,39759.31,1152040.42
SOUTH,2023-03-13,43255.92,1195296.33
SOUTH,2023-03-19,64394.34,1259690.68
SOUTH,2023-03-30,234558.57,1494249.24
SOUTH,2023-04-05,88885.38,1583134.62
SOUTH,2023-04-06,24670.09,1607804.71
SOUTH,2023-04-21,11610.81,1619415.53
SOUTH,2023-04-22,49869.46,1669284.99
SOUTH,2023-04-23,100492.49,1769777.48
SOUTH,2023-04-30,45594.83,1815372.31
SOUTH,2023-05-15,162684.78,1978057.09
SOUTH,2023-05-16,110900.66,2088957.75
SOUTH,2023-05-17,39856.6,2128814.35
SOUTH,2023-05-18,172618.18,2301432.53
SOUTH,2023-06-22,127944.32,2429376.85
SOUTH,2023-06-27,69421.48,2498798.33
SOUTH,2023-06-29,198681.47,2697479.81
SOUTH,2023-06-30,72409.8,2769889.61
SOUTH,2023-07-07,94712.64,2864602.25
SOUTH,2023-07-14,23076.4,2887678.65
SOUTH,2023-07-18,174522.55,3062201.2
SOUTH,2023-07-25,11226.83,3073428.04
SOUTH,2023-08-08,255955.92,3329383.96
SOUTH,2023-08-14,81484.56,3410868.52
SOUTH,2023-08-16,104365.28,3515233.8
SOUTH,2023-08-21,-1778.56,3513455.23
SOUTH,2023-08-22,0.0,3513455.23
SOUTH,2023-09-03,64699.67,3578154.9
SOUTH,2023-09-20,55330.16,3633485.07
SOUTH,2023-10-05,148287.82,3781772.89
SOUTH,2023-10-11,23737.36,3805510.25
SOUTH,2023-11-08,101430.18,3906940.42
SOUTH,2023-11-09,-40282.6,3866657.83
SOUTH,2023-11-11,96173.57,3962831.39
SOUTH,2023-11-17,9898.58,3972729.97
SOUTH,2023-11-18,84158.2,4056888.18
SOUTH,2023-12-05,172204.54,4229092.72
SOUTH,2023-12-07,52090.66,4281183.37
SOUTH,2023-12-13,19951.35,4301134.72
SOUTH,2023-12-17,56620.97,4357755.69
SOUTH,2023-12-23,35919.15,4393674.84
SOUTH,2023-12-25,53382.02,4447056.87
SOUTH,2024-01-06,130659.48,4577716.35
SOUTH,2024-01-12,162969.16,4740685.51
SOUTH,2024-01-14,47146.38,4787831.89
SOUTH,2024-01-25,-37100.73,4750731.16
SOUTH,2024-01-28,263732.62,5014463.78
SOUTH,2024-01-30,45430.82,5059894.6
SOUTH,2024-02-12,200096.72,5259991.32
SOUTH,2024-02-13,89421.49,5349412.81
SOUTH,2024-02-21,134117.53,5483530.33
SOUTH,2024-02-24,19255.61,5502785.94
SOUTH,2024-02-26,62788.27,5565574.21
SOUTH,2024-02-28,28516.44,5594090.65
SOUTH,2024-03-06,5472.68,5599563.33
SOUTH,2024-03-09,83978.91,5683542.24
SOUTH,2024-03-16,170781.29,5854323.52
SOUTH,2024-03-17,111051.84,5965375.37
SOUTH,2024-03-20,74005.84,6039381.21
SOUTH,2024-03-30,71356.62,6110737.83
SOUTH,2024-04-12,20763.94,6131501.77
SOUTH,2024-04-17,99389.29,6230891.06
SOUTH,2024-05-11,93267.81,6324158.87
SOUTH,2024-05-16,91350.98,6415509.85
SOUTH,2024-05-28,66114.38,6481624.23
SOUTH,2024-05-30,236602.94,6718227.17
SOUTH,2024-06-08,55393.69,6773620.87
SOUTH,2024-06-14,146944.47,6920565.34
SOUTH,2024-06-15,40961.6,6961526.94
SOUTH,2024-06-18,9020.88,6970547.82
SOUTH,2024-06-23,295522.25,7266070.07
SOUTH,2024-06-29,20688.83,7286758.91
SOUTH,2024-07-16,3208.44,7289967.34
SOUTH,2024-07-26,330241.78,7620209.12
SOUTH,2024-07-29,108883.85,7729092.97
SOUTH,2024-08-09,108131.71,7837224.68
SOUTH,2024-08-10,150454.97,7987679.65
SOUTH,2024-08-12,100476.39,8088156.04
SOUTH,2024-08-16,139458.45,8227614.49
SOUTH,2024-08-21,19565.04,8247179.53
SOUTH,2024-08-23,107769.71,8354949.24
SOUTH,2024-08-24,85675.42,8440624.66
SOUTH,2024-08-29,142870.26,8583494.93
SOUTH,2024-09-10,74844.46,8658339.38
SOUTH,2024-10-01,58030.26,8716369.64
SOUTH,2024-10-17,117116.99,8833486.63
SOUTH,2024-10-23,177490.16,9010976.79
SOUTH,2024-10-24,84613.74,9095590.53
SOUTH,2024-10-29,187326.28,9282916.81
SOUTH,2024-11-01,-73842.43,9209074.38
SOUTH,2024-11-08,29510.05,9238584.42
SOUTH,2024-11-10,202166.4,9440750.82
SOUTH,2024-11-15,100709.28,9541460.1
SOUTH,2024-11-22,156078.87,9697538.97
SOUTH,2024-12-22,111219.41,9808758.38
WEST,2023-01-11,159644.35,159644.35
WEST,2023-01-21,248499.69,408144.04
WEST,2023-01-22,213496.11,621640.16
WEST,2023-02-01,22931.61,644571.76
WEST,2023-02-09,61502.72,706074.48
WEST,2023-02-11,211455.04,917529.52
WEST,2023-02-13,68430.93,985960.44
WEST,2023-02-15,91053.8,1077014.25
WEST,2023-02-20,60421.32,1137435.56
WEST,2023-02-21,100190.11,1237625.68
WEST,2023-02-25,365426.82,1603052.5
WEST,2023-02-27,113950.13,1717002.63
WEST,2023-03-01,23087.84,1740090.48
WEST,2023-03-02,18497.97,1758588.45
WEST,2023-03-06,95948.31,1854536.75
WEST,2023-03-07,113417.11,1967953.87
WEST,2023-03-09,125834.19,2093788.06
WEST,2023-03-14,89178.23,2182966.29
WEST,2023-03-18,111344.34,2294310.63
WEST,2023-03-21,89470.98,2383781.62
WEST,2023-03-22,90329.2,2474110.82
WEST,2023-03-24,111335.8,2585446.63
WEST,2023-04-02,2287.82,2587734.45
WEST,2023-04-07,37157.21,2624891.66
WEST,2023-04-14,66582.79,2691474.45
WEST,2023-04-15,99140.28,2790614.73
WEST,2023-04-26,105925.98,2896540.71
WEST,2023-05-01,21807.11,2918347.82
WEST,2023-05-04,10432.71,2928780.53
WEST,2023-05-08,135152.77,3063933.3
WEST,2023-05-20,34671.19,3098604.5
WEST,2023-05-21,28166.72,3126771.22
WEST,2023-05-22,17022.89,3143794.11
WEST,2023-05-25,49461.02,3193255.12
WEST,2023-05-26,16986.79,3210241.92
WEST,2023-05-29,42967.63,3253209.55
WEST,2023-06-02,6526.18,3259735.73
WEST,2023-06-04,72316.91,3332052.64
WEST,2023-06-05,10336.2,3342388.83
WEST,2023-07-11,79103.77,3421492.61
WEST,2023-07-15,77988.81,3499481.41
WEST,2023-07-17,158534.11,3658015.53
WEST,2023-07-20,78166.6,3736182.12
WEST,2023-08-01,165465.35,3901647.47
WEST,2023-08-03,34945.49,3936592.96
WEST,2023-08-04,84102.24,4020695.2
WEST,2023-08-06,136343.89,4157039.09
WEST,2023-08-09,1802.26,4158841.35
WEST,2023-08-14,76953.68,4235795.03
WEST,2023-08-17,55937.68,4291732.71
WEST,2023-08-23,8723.27,4300455.98
WEST,2023-08-25,17763.89,4318219.87
WEST,2023-09-15,139975.05,4458194.92
WEST,2023-09-18,18203.14,4476398.06
WEST,2023-09-20,7145.26,4483543.32
WEST,2023-10-04,51834.08,4535377.39
WEST,2023-10-12,93198.78,4628576.18
WEST,2023-10-22,59385.32,4687961.49
WEST,2023-10-31,18509.27,4706470.76
WEST,2023-11-02,44511.33,4750982.09
WEST,2023-11-15,92484.91,4843467.01
WEST,2023-11-22,60241.61,4903708.62
WEST,2023-11-28,276077.98,5179786.61
WEST,2023-12-05,94614.03,5274400.64
WEST,2023-12-06,35179.75,5309580.38
WEST,2023-12-10,75332.95,5384913.34
WEST,2023-12-12,227113.21,5612026.55
WEST,2023-12-20,320907.41,5932933.96
WEST,2023-12-21,165503.54,6098437.5
WEST,2023-12-24,199607.55,6298045.04
WEST,2023-12-26,101741.55,6399786.59
WEST,2023-12-31,21959.21,6421745.8
WEST,2024-01-02,25337.8,6447083.61
WEST,2024-01-05,47200.88,6494284.49
WEST,2024-01-10,74029.21,6568313.7
WEST,2024-01-13,60943.37,6629257.06
WEST,2024-01-20,177619.37,6806876.43
WEST,2024-01-27,205561.56,7012437.99
WEST,2024-02-04,44743.76,7057181.74
WEST,2024-02-16,28468.85,7085650.6
WEST,2024-02-18,23931.66,7109582.26
WEST,2024-02-24,99413.55,7208995.81
WEST,2024-02-25,87549.62,7296545.42
WEST,2024-03-01,90944.68,7387490.1
WEST,2024-03-07,107267.21,7494757.31
WEST,2024-03-09,146814.72,7641572.02
WEST,2024-03-12,111064.62,7752636.65
WEST,2024-03-14,20318.0,7772954.64
WEST,2024-03-15,74018.69,7846973.34
WEST,2024-03-21,75219.85,7922193.19
WEST,2024-03-23,276448.68,8198641.87
WEST,2024-04-03,175712.34,8374354.21
WEST,2024-04-09,191534.18,8565888.39
WEST,2024-04-11,54597.84,8620486.22
WEST,2024-04-20,127167.46,8747653.68
WEST,2024-04-22,42295.61,8789949.3
WEST,2024-04-25,121511.8,8911461.1
WEST,2024-05-01,51667.59,8963128.69
WEST,2024-05-06,85518.67,9048647.35
WEST,2024-05-21,76172.02,9124819.37
WEST,2024-05-25,119830.14,9244649.51
WEST,2024-05-31,37375.2,9282024.71
WEST,2024-06-06,154993.75,9437018.46
WEST,2024-06-08,44016.66,9481035.12
WEST,2024-06-09,128064.95,9609100.07
WEST,2024-06-17,253802.63,9862902.7
WEST,2024-06-25,251702.21,10114604.91
WEST,2024-06-26,242027.69,10356632.6
