customer_id,first_category,last_category,category_shift
C00081,Books,Books,No
C00082,Books,Clothing,Yes
C00083,Electronics,Electronics,No
C00087,Home,Clothing,Yes
C00088,Home,Clothing,Yes
C00091,Electronics,Electronics,No
C00093,Books,Clothing,Yes
C00095,Electronics,Home,Yes
C00096,Books,Home,Yes
C00097,Clothing,Electronics,Yes
C00098,Books,Books,No
C00099,Clothing,Electronics,Yes
C00100,Home,Clothing,Yes
C00101,Home,Electronics,Yes
C00102,Clothing,Books,Yes
C00104,Clothing,Books,Yes
C00106,Books,Electronics,Yes
C00107,Home,Books,Yes
C00108,Home,Home,No
C00110,Clothing,Clothing,No
C00111,Books,Books,No
C00112,Clothing,Clothing,No
C00113,Home,Electronics,Yes
C00115,Electronics,Electronics,No
C00116,Electronics,Electronics,No
C00117,Electronics,Home,Yes
C00120,Clothing,Clothing,No
C00121,Electronics,Home,Yes
C00122,Electronics,Clothing,Yes
C00123,Home,Home,No
C00124,Books,Books,No
C00125,Clothing,Clothing,No
C00127,Books,Home,Yes
C00128,Books,Books,No
C00129,Clothing,Clothing,No
C00131,Books,Electronics,Yes
C00132,Electronics,Home,Yes
C00133,Clothing,Electronics,Yes
C00137,Clothing,Books,Yes
C00139,Clothing,Home,Yes
C00145,Books,Books,No
C00146,Clothing,Clothing,No
C00147,Home,Electronics,Yes
C00149,Clothing,Electronics,Yes
C00152,Electronics,Clothing,Yes
C00153,Electronics,Books,Yes
C00154,Clothing,Books,Yes
C00155,Books,Books,No
C00156,Books,Books,No
C00157,Home,Electronics,Yes
C00159,Electronics,Home,Yes
C00160,Electronics,Home,Yes
C00161,Home,Clothing,Yes
C00162,Electronics,Books,Yes
C00163,Clothing,Home,Yes
C00164,Books,Home,Yes
C00166,Clothing,Books,Yes
C00167,Books,Books,No
C00170,Electronics,Electronics,No
C00173,Books,Home,Yes
C00174,Books,Home,Yes
C00175,Books,Home,Yes
C00176,Books,Home,Yes
C00177,Books,Home,Yes
C00178,Books,Electronics,Yes
C00179,Books,Books,No
C00180,Books,Clothing,Yes
C00181,Clothing,Clothing,No
C00182,Electronics,Electronics,No
C00183,Home,Books,Yes
C00184,Electronics,Clothing,Yes
C00185,Clothing,Electronics,Yes
C00187,Clothing,Clothing,No
C00190,Home,Clothing,Yes
C00191,Home,Clothing,Yes
C00193,Electronics,Electronics,No
C00194,Books,Electronics,Yes
C00195,Books,Home,Yes
C00196,Books,Books,No
C00197,Electronics,Clothing,Yes
C00198,Clothing,Clothing,No
C00200,Books,Clothing,Yes
C00201,Electronics,Electronics,No
C00202,Electronics,Electronics,No
C00203,Home,Home,No
C00204,Electronics,Books,Yes
C00205,Electronics,Electronics,No
C00209,Books,Books,No
C00210,Clothing,Clothing,No
C00211,Books,Home,Yes
C00212,Home,Books,Yes
C00213,Electronics,Books,Yes
C00215,Electronics,Home,Yes
C00216,Electronics,Books,Yes
C00217,Clothing,Home,Yes
C00218,Electronics,Clothing,Yes
C00219,Clothing,Books,Yes
C00222,Home,Clothing,Yes
C00223,Electronics,Books,Yes
C00224,Electronics,Home,Yes
C00225,Clothing,Clothing,No
C00226,Clothing,Books,Yes
C00227,Home,Electronics,Yes
C00228,Books,Books,No
C00229,Electronics,Books,Yes
C00232,Home,Books,Yes
C00235,Clothing,Clothing,No
C00237,Books,Books,No
C00238,Electronics,Clothing,Yes
C00239,Books,Books,No
C00240,Home,Books,Yes
C00241,Electronics,Books,Yes
C00244,Electronics,Electronics,No
C00247,Home,Clothing,Yes
C00248,Electronics,Electronics,No
C00249,Clothing,Books,Yes
C00250,Books,Clothing,Yes
C00251,Electronics,Clothing,Yes
C00252,Home,Books,Yes
C00253,Home,Electronics,Yes
C00254,Home,Home,No
C00256,Books,Clothing,Yes
C00257,Books,Electronics,Yes
C00258,Books,Home,Yes
C00259,Electronics,Electronics,No
C00260,Clothing,Electronics,Yes
C00261,Books,Home,Yes
C00262,Books,Home,Yes
C00263,Books,Clothing,Yes
C00264,Clothing,Books,Yes
C00265,Books,Books,No
C00267,Books,Clothing,Yes
C00268,Home,Electronics,Yes
C00269,Home,Books,Yes
C00270,Clothing,Clothing,No
C00272,Books,Books,No
C00273,Books,Books,No
C00275,Electronics,Books,Yes
C00276,Books,Books,No
C00277,Electronics,Clothing,Yes
C00281,Clothing,Books,Yes
C00282,Books,Home,Yes
C00284,Home,Clothing,Yes
C00286,Clothing,Electronics,Yes
C00287,Electronics,Home,Yes
C00288,Books,Books,No
C00289,Books,Books,No
C00291,Electronics,Electronics,No
C00292,Home,Books,Yes
C00293,Electronics,Books,Yes
C00294,Electronics,Home,Yes
C00295,Books,Books,No
C00296,Clothing,Books,Yes
C00297,Home,Electronics,Yes
C00298,Home,Home,No
C00299,Electronics,Home,Yes
C00300,Electronics,Clothing,Yes
C00301,Clothing,Books,Yes
C00302,Clothing,Electronics,Yes
C00303,Clothing,Home,Yes
C00304,Electronics,Electronics,No
C00305,Home,Clothing,Yes
C00306,Books,Clothing,Yes
C00307,Books,Clothing,Yes
C00309,Electronics,Home,Yes
C00310,Electronics,Electronics,No
C00311,Clothing,Electronics,Yes
C00312,Clothing,Home,Yes
C00313,Home,Home,No
C00314,Electronics,Books,Yes
C00315,Books,Books,No
C00317,Electronics,Books,Yes
C00319,Home,Home,No
C00320,Books,Books,No
C00321,Electronics,Clothing,Yes
C00322,Books,Clothing,Yes
C00323,Clothing,Home,Yes
C00324,Home,Home,No
C00325,Home,Home,No
C00326,Clothing,Clothing,No
C00327,Home,Books,Yes
C00328,Books,Clothing,Yes
C00329,Clothing,Home,Yes
C00330,Electronics,Clothing,Yes
C00331,Electronics,Home,Yes
C00332,Home,Books,Yes
C00333,Home,Home,No
C00335,Home,Home,No
C00336,Home,Home,No
C00337,Books,Books,No
C00338,Clothing,Books,Yes
C00339,Books,Electronics,Yes
C00340,Home,Books,Yes
C00341,Electronics,Books,Yes
C00343,Home,Home,No
C00345,Books,Books,No
C00347,Home,Home,No
C00348,Home,Clothing,Yes
C00350,Home,Electronics,Yes
C00351,Electronics,Electronics,No
C00352,Home,Books,Yes
C00353,Electronics,Electronics,No
C00356,Clothing,Home,Yes
C00357,Clothing,Clothing,No
C00359,Clothing,Books,Yes
C00360,Electronics,Books,Yes
C00361,Electronics,Electronics,No
C00363,Home,Electronics,Yes
C00365,Home,Home,No
C00366,Clothing,Clothing,No
C00367,Home,Home,No
C00368,Books,Books,No
C00369,Electronics,Books,Yes
C00371,Clothing,Home,Yes
C00373,Electronics,Clothing,Yes
C00376,Electronics,Clothing,Yes
C00377,Books,Electronics,Yes
C00379,Home,Home,No
C00381,Books,Clothing,Yes
C00383,Electronics,Home,Yes
C00384,Books,Electronics,Yes
C00385,Books,Books,No
C00386,Electronics,Home,Yes
C00387,Clothing,Clothing,No
C00388,Electronics,Electronics,No
C00389,Home,Electronics,Yes
C00390,Home,Electronics,Yes
C00393,Electronics,Books,Yes
C00394,Books,Clothing,Yes
C00395,Home,Home,No
C00397,Clothing,Books,Yes
C00398,Books,Electronics,Yes
C00399,Clothing,Home,Yes
C00400,Home,Electronics,Yes
C00401,Clothing,Books,Yes
C00402,Home,Home,No
C00403,Clothing,Home,Yes
C00404,Electronics,Books,Yes
C00405,Books,Electronics,Yes
C00406,Clothing,Clothing,No
C00407,Clothing,Books,Yes
C00408,Books,Clothing,Yes
C00410,Electronics,Electronics,No
C00411,Clothing,Electronics,Yes
C00412,Electronics,Electronics,No
C00413,Clothing,Electronics,Yes
C00414,Electronics,Electronics,No
C00415,Electronics,Books,Yes
C00418,Electronics,Home,Yes
C00419,Electronics,Clothing,Yes
C00421,Electronics,Books,Yes
C00422,Home,Clothing,Yes
C00423,Electronics,Electronics,No
C00424,Books,Books,No
C00426,Home,Books,Yes
C00427,Electronics,Home,Yes
C00428,Electronics,Books,Yes
C00430,Electronics,Electronics,No
C00432,Books,Electronics,Yes
C00433,Clothing,Home,Yes
C00434,Books,Electronics,Yes
C00435,Books,Clothing,Yes
C00436,Electronics,Home,Yes
C00437,Electronics,Home,Yes
C00438,Electronics,Books,Yes
C00439,Electronics,Books,Yes
C00440,Clothing,Electronics,Yes
C00441,Books,Electronics,Yes
C00442,Home,Electronics,Yes
C00445,Books,Home,Yes
C00446,Home,Clothing,Yes
C00447,Books,Books,No
C00448,Home,Clothing,Yes
C00449,Electronics,Electronics,No
C00450,Electronics,Electronics,No
C00451,Home,Home,No
C00452,Electronics,Electronics,No
C00453,Books,Electronics,Yes
C00454,Electronics,Electronics,No
C00455,Clothing,Clothing,No
C00456,Books,Books,No
C00458,Clothing,Books,Yes
C00460,Electronics,Clothing,Yes
C00461,Electronics,Books,Yes
C00462,Books,Clothing,Yes
C00464,Electronics,Home,Yes
C00466,Clothing,Books,Yes
C00467,Electronics,Books,Yes
C00470,Books,Books,No
C00471,Home,Books,Yes
C00472,Electronics,Books,Yes
C00473,Clothing,Electronics,Yes
C00474,Clothing,Clothing,No
C00475,Home,Clothing,Yes
C00476,Clothing,Electronics,Yes
C00477,Books,Books,No
C00478,Electronics,Clothing,Yes
C00479,Clothing,Clothing,No
C00481,Electronics,Clothing,Yes
C00482,Books,Books,No
C00483,Home,Home,No
C00486,Clothing,Home,Yes
C00487,Home,Clothing,Yes
C00490,Books,Electronics,Yes
C00491,Electronics,Books,Yes
C00493,Electronics,Electronics,No
C00494,Clothing,Clothing,No
C00495,Electronics,Electronics,No
C00496,Home,Clothing,Yes
C00497,Books,Books,No
C00499,Home,Electronics,Yes
C00500,Books,Electronics,Yes
