customer_id,total_value,quartile,quartile_label
C00098,250683.41,1,Platinum
C00077,250411.72,1,Platinum
C00111,243188.73,1,Platinum
C00195,242666.62,1,Platinum
C00471,242027.69,1,Platinum
C00478,240973.2,1,Platinum
C00295,240081.8,1,Platinum
C00033,239342.94,1,Platinum
C00096,238579.01,1,Platinum
C00110,236602.94,1,Platinum
C00337,236462.37,1,Platinum
C00348,234615.15,1,Platinum
C00399,234325.78,1,Platinum
C00314,233145.83,1,Platinum
C00481,227091.25,1,Platinum
C00006,226887.89,1,Platinum
C00442,225223.16,1,Platinum
C00386,218607.91,1,Platinum
C00286,215675.1,1,Platinum
C00493,214293.19,1,Platinum
C00019,213563.82,1,Platinum
C00249,212912.48,1,Platinum
C00161,212827.96,1,Platinum
C00015,212811.48,1,Platinum
C00113,212480.52,1,Platinum
C00451,211878.43,1,Platinum
C00217,211048.91,1,Platinum
C00116,210956.43,1,Platinum
C00414,209881.37,1,Platinum
C00240,206103.56,1,Platinum
C00430,205245.43,1,Platinum
C00190,202166.4,2,Gold
C00066,200642.3,2,Gold
C00428,200096.49,2,Gold
C00263,199706.02,2,Gold
C00229,197414.57,2,Gold
C00078,196280.07,2,Gold
C00352,196062.26,2,Gold
C00224,193831.92,2,Gold
C00301,191534.18,2,Gold
C00276,190595.84,2,Gold
C00260,189883.52,2,Gold
C00147,188279.05,2,Gold
C00311,188036.38,2,Gold
C00037,187540.14,2,Gold
C00256,187375.11,2,Gold
C00061,187102.49,2,Gold
C00441,186212.03,2,Gold
C00261,185919.23,2,Gold
C00405,185650.59,2,Gold
C00472,181552.99,2,Gold
C00046,181273.88,2,Gold
C00320,178388.05,2,Gold
C00049,177490.16,2,Gold
C00376,177256.86,2,Gold
C00272,176942.94,2,Gold
C00426,172731.17,2,Gold
C00183,172500.59,2,Gold
C00317,171863.85,2,Gold
C00326,171512.72,2,Gold
C00458,171263.81,2,Gold
C00064,169668.25,2,Gold
C00139,169499.31,2,Gold
C00025,169113.26,2,Gold
C00154,168952.26,2,Gold
C00410,168797.07,2,Gold
C00454,167586.69,2,Gold
C00413,167255.41,2,Gold
C00062,167207.54,2,Gold
C00268,166611.23,2,Gold
C00393,165016.7,2,Gold
C00241,163693.37,2,Gold
C00333,163330.46,2,Gold
C00347,163306.15,2,Gold
C00304,162684.78,2,Gold
C00298,162345.1,2,Gold
C00427,162139.0,2,Gold
C00028,159644.35,2,Gold
C00166,159030.55,2,Gold
C00058,156772.5,2,Gold
C00030,154669.65,2,Gold
C00264,154344.95,2,Gold
C00070,154136.75,2,Gold
C00112,153514.35,2,Gold
C00132,152387.64,2,Gold
C00310,148351.89,2,Gold
C00177,148287.82,2,Gold
C00045,147560.48,2,Gold
C00155,147521.89,2,Gold
C00099,147451.74,2,Gold
C00418,146955.98,2,Gold
C00415,145867.8,2,Gold
C00120,144070.56,2,Gold
C00215,141355.1,2,Gold
C00356,140837.72,2,Gold
C00483,140723.17,2,Gold
C00237,140692.07,2,Gold
C00466,140207.87,2,Gold
C00153,139975.05,2,Gold
C00340,139702.4,2,Gold
C00247,138989.45,2,Gold
C00106,138369.92,2,Gold
C00288,138262.5,2,Gold
C00251,137925.82,2,Gold
C00129,137230.68,2,Gold
C00218,135791.3,2,Gold
C00021,135124.99,2,Gold
C00250,134326.79,2,Gold
C00265,134117.53,2,Gold
C00404,134019.38,2,Gold
C00462,133949.68,2,Gold
C00330,133229.88,2,Gold
C00201,132461.61,2,Gold
C00363,132385.07,2,Gold
C00167,131598.4,2,Gold
C00305,131314.3,2,Gold
C00389,131314.21,2,Gold
C00170,131070.86,2,Gold
C00495,130659.48,2,Gold
C00394,129744.35,2,Gold
C00494,128598.86,2,Gold
C00331,128214.01,2,Gold
C00401,127063.34,2,Gold
C00282,125980.45,2,Gold
C00491,125834.19,2,Gold
C00124,125458.35,2,Gold
C00074,124304.11,3,Silver
C00384,122389.19,3,Silver
C00321,121559.48,3,Silver
C00438,121040.78,3,Silver
C00309,120563.36,3,Silver
C00162,120561.55,3,Silver
C00087,119152.33,3,Silver
C00197,117116.99,3,Silver
C00011,116512.51,3,Silver
C00196,116406.36,3,Silver
C00329,116321.05,3,Silver
C00083,113947.18,3,Silver
C00500,113278.5,3,Silver
C00244,112741.7,3,Silver
C00228,112444.1,3,Silver
C00397,112215.61,3,Silver
C00100,110140.8,3,Silver
C00178,109481.84,3,Silver
C00385,109301.91,3,Silver
C00093,108342.31,3,Silver
C00018,108032.85,3,Silver
C00406,107769.71,3,Silver
C00258,107702.03,3,Silver
C00365,106003.92,3,Silver
C00408,105925.98,3,Silver
C00300,104011.62,3,Silver
C00324,103987.8,3,Silver
C00435,103987.1,3,Silver
C00082,103263.77,3,Silver
C00449,103195.73,3,Silver
C00291,102462.79,3,Silver
C00198,101777.34,3,Silver
C00107,101375.37,3,Silver
C00102,101104.17,3,Silver
C00202,100476.39,3,Silver
C00174,99413.55,3,Silver
C00029,99389.29,3,Silver
C00101,98684.96,3,Silver
C00232,97513.46,3,Silver
C00450,96910.17,3,Silver
C00023,95683.38,3,Silver
C00475,95562.38,3,Silver
C00486,95204.3,3,Silver
C00212,94809.13,3,Silver
C00117,94491.44,3,Silver
C00302,94340.26,3,Silver
C00176,93198.78,3,Silver
C00381,93178.02,3,Silver
C00200,92431.35,3,Silver
C00024,90422.95,3,Silver
C00204,90329.2,3,Silver
C00464,89991.91,3,Silver
C00219,89178.23,3,Silver
C00056,88885.38,3,Silver
C00436,88627.71,3,Silver
C00327,88397.72,3,Silver
C00403,86816.98,3,Silver
C00262,86527.57,3,Silver
C00076,85782.49,3,Silver
C00213,84158.2,3,Silver
C00322,83978.91,3,Silver
C00359,83860.54,3,Silver
C00269,83777.75,3,Silver
C00238,83131.29,3,Silver
C00149,80892.13,3,Silver
C00095,78610.82,3,Silver
C00345,78297.19,3,Silver
C00390,78228.14,3,Silver
C00031,78166.6,3,Silver
C00267,77680.59,3,Silver
C00127,76913.7,3,Silver
C00008,76705.83,3,Silver
C00125,76547.92,3,Silver
C00007,76420.72,3,Silver
C00275,75982.03,3,Silver
C00433,75903.44,3,Silver
C00440,75332.95,3,Silver
C00432,75029.53,3,Silver
C00460,74452.27,3,Silver
C00412,73689.52,3,Silver
C00400,73667.53,3,Silver
C00307,73058.1,3,Silver
C00063,71808.34,3,Silver
C00211,70908.95,3,Silver
C00057,68826.11,3,Silver
C00351,68200.96,3,Silver
C00332,67647.52,3,Silver
C00446,64394.34,3,Silver
C00075,64089.15,3,Silver
C00115,62507.57,3,Silver
C00053,62288.9,3,Silver
C00042,62244.26,3,Silver
C00020,60813.69,3,Silver
C00016,60421.32,3,Silver
C00027,60241.61,3,Silver
C00402,60164.8,4,Bronze
C00026,59900.24,4,Bronze
C00069,59793.62,4,Bronze
C00182,59385.32,4,Bronze
C00131,59310.2,4,Bronze
C00137,59165.87,4,Bronze
C00487,58448.07,4,Bronze
C00387,58353.12,4,Bronze
C00353,57994.52,4,Bronze
C00289,57847.0,4,Bronze
C00005,56856.56,4,Bronze
C00461,56473.62,4,Bronze
C00445,55381.41,4,Bronze
C00044,55330.16,4,Bronze
C00080,54853.44,4,Bronze
C00071,54465.74,4,Bronze
C00050,54332.57,4,Bronze
C00146,54186.98,4,Bronze
C00164,53382.02,4,Bronze
C00121,51595.51,4,Bronze
C00108,51460.51,4,Bronze
C00419,51157.0,4,Bronze
C00477,50753.31,4,Bronze
C00296,49982.36,4,Bronze
C00122,49960.25,4,Bronze
C00065,49310.57,4,Bronze
C00022,48182.88,4,Bronze
C00001,47199.76,4,Bronze
C00254,47111.21,4,Bronze
C00398,43691.61,4,Bronze
C00294,43312.53,4,Bronze
C00369,43246.27,4,Bronze
C00479,42765.73,4,Bronze
C00423,42633.89,4,Bronze
C00325,40675.97,4,Bronze
C00499,39856.6,4,Bronze
C00222,37698.46,4,Bronze
C00496,36727.45,4,Bronze
C00175,36190.64,4,Bronze
C00159,36079.43,4,Bronze
C00361,35933.82,4,Bronze
C00239,35919.15,4,Bronze
C00216,35414.23,4,Bronze
C00257,34945.49,4,Bronze
C00284,34510.71,4,Bronze
C00453,33694.41,4,Bronze
C00319,31254.69,4,Bronze
C00474,30683.96,4,Bronze
C00041,29827.52,4,Bronze
C00072,29784.9,4,Bronze
C00273,29288.15,4,Bronze
C00293,28166.72,4,Bronze
C00043,27469.85,4,Bronze
C00191,27235.86,4,Bronze
C00357,27234.3,4,Bronze
C00123,23016.03,4,Bronze
C00395,21773.38,4,Bronze
C00328,21142.51,4,Bronze
C00281,20763.94,4,Bronze
C00235,20688.83,4,Bronze
C00152,18743.71,4,Bronze
C00343,18497.97,4,Bronze
C00476,17135.21,4,Bronze
C00210,17114.03,4,Bronze
C00133,16986.79,4,Bronze
C00338,15874.69,4,Bronze
C00456,15126.79,4,Bronze
C00407,14873.55,4,Bronze
C00379,13442.72,4,Bronze
C00193,13414.09,4,Bronze
C00173,13119.4,4,Bronze
C00034,12226.08,4,Bronze
C00482,11402.03,4,Bronze
C00048,10040.14,4,Bronze
C00270,9911.22,4,Bronze
C00335,8974.3,4,Bronze
C00259,6712.7,4,Bronze
C00313,6526.18,4,Bronze
C00336,5524.11,4,Bronze
C00128,5508.87,4,Bronze
C00091,5472.68,4,Bronze
C00179,5467.26,4,Bronze
C00205,5347.15,4,Bronze
C00014,3438.33,4,Bronze
C00039,3208.44,4,Bronze
C00225,2186.62,4,Bronze
C00187,1545.88,4,Bronze
C00473,1457.11,4,Bronze
C00434,-12176.13,4,Bronze
C00452,-25283.75,4,Bronze
C00145,-30802.65,4,Bronze
C00315,-32620.29,4,Bronze
C00377,-34343.07,4,Bronze
C00004,-37100.73,4,Bronze
