customer_id,revenue,cumulative_revenue,cumulative_percent
C00314,233145.83,25990795.49,46.26
C00481,227091.25,26217886.74,46.66
C00006,226887.89,26444774.63,47.07
C00442,225223.16,26669997.79,47.47
C00386,218607.91,26888605.7,47.86
C00286,215675.1,27104280.8,48.24
C00493,214293.19,27318573.99,48.62
C00019,213563.82,27532137.81,49.0
C00249,212912.48,27745050.29,49.38
C00161,212827.96,27957878.26,49.76
C00015,212811.48,28170689.74,50.14
C00113,212480.52,28383170.26,50.52
C00451,211878.43,28595048.69,50.9
C00217,211048.91,28806097.61,51.27
C00116,210956.43,29017054.04,51.65
C00414,209881.37,29226935.41,52.02
C00240,206103.56,29433038.97,52.39
C00430,205245.43,29638284.4,52.75
C00190,202166.4,29840450.8,53.11
C00066,200642.3,30041093.1,53.47
C00428,200096.49,30241189.59,53.83
C00263,199706.02,30440895.61,54.18
C00229,197414.57,30638310.18,54.53
C00078,196280.07,30834590.25,54.88
C00352,196062.26,31030652.51,55.23
C00224,193831.92,31224484.43,55.58
C00301,191534.18,31416018.61,55.92
C00276,190595.84,31606614.45,56.26
C00260,189883.52,31796497.97,56.59
C00147,188279.05,31984777.02,56.93
C00311,188036.38,32172813.4,57.26
C00037,187540.14,32360353.55,57.6
C00256,187375.11,32547728.65,57.93
C00061,187102.49,32734831.14,58.26
C00441,186212.03,32921043.17,58.59
C00261,185919.23,33106962.4,58.93
C00405,185650.59,33292612.98,59.26
C00472,181552.99,33474165.97,59.58
C00046,181273.88,33655439.85,59.9
C00320,178388.05,33833827.9,60.22
C00049,177490.16,34011318.07,60.54
C00376,177256.86,34188574.92,60.85
C00272,176942.94,34365517.87,61.17
C00426,172731.17,34538249.04,61.47
C00183,172500.59,34710749.63,61.78
C00317,171863.85,34882613.47,62.09
C00326,171512.72,35054126.19,62.39
C00458,171263.81,35225390.0,62.7
C00064,169668.25,35395058.24,63.0
C00139,169499.31,35564557.55,63.3
C00025,169113.26,35733670.81,63.6
C00154,168952.26,35902623.07,63.9
C00410,168797.07,36071420.13,64.2
C00454,167586.69,36239006.83,64.5
C00413,167255.41,36406262.24,64.8
C00062,167207.54,36573469.78,65.1
C00268,166611.23,36740081.0,65.39
C00393,165016.7,36905097.71,65.69
C00241,163693.37,37068791.08,65.98
C00333,163330.46,37232121.54,66.27
C00347,163306.15,37395427.69,66.56
C00304,162684.78,37558112.47,66.85
C00298,162345.1,37720457.57,67.14
C00427,162139.0,37882596.57,67.43
C00028,159644.35,38042240.93,67.71
C00166,159030.55,38201271.47,67.99
C00058,156772.5,38358043.98,68.27
C00030,154669.65,38512713.63,68.55
C00264,154344.95,38667058.58,68.82
C00070,154136.75,38821195.33,69.1
C00112,153514.35,38974709.68,69.37
C00132,152387.64,39127097.32,69.64
C00310,148351.89,39275449.21,69.9
C00177,148287.82,39423737.03,70.17
C00045,147560.48,39571297.51,70.43
C00155,147521.89,39718819.4,70.69
C00099,147451.74,39866271.15,70.96
C00418,146955.98,40013227.13,71.22
C00415,145867.8,40159094.93,71.48
C00120,144070.56,40303165.48,71.73
C00215,141355.1,40444520.59,71.99
C00356,140837.72,40585358.3,72.24
C00483,140723.17,40726081.47,72.49
C00237,140692.07,40866773.54,72.74
C00466,140207.87,41006981.41,72.99
C00153,139975.05,41146956.46,73.24
C00340,139702.4,41286658.86,73.48
C00247,138989.45,41425648.31,73.73
C00106,138369.92,41564018.23,73.98
C00288,138262.5,41702280.74,74.22
C00251,137925.82,41840206.56,74.47
C00129,137230.68,41977437.24,74.71
C00218,135791.3,42113228.54,74.96
C00021,135124.99,42248353.53,75.2
C00250,134326.79,42382680.32,75.44
C00265,134117.53,42516797.85,75.67
C00404,134019.38,42650817.22,75.91
C00462,133949.68,42784766.91,76.15
C00330,133229.88,42917996.79,76.39
C00201,132461.61,43050458.4,76.62
C00363,132385.07,43182843.47,76.86
C00167,131598.4,43314441.87,77.09
C00305,131314.3,43445756.17,77.33
C00389,131314.21,43577070.37,77.56
C00170,131070.86,43708141.23,77.79
C00495,130659.48,43838800.72,78.03
C00394,129744.35,43968545.06,78.26
C00494,128598.86,44097143.93,78.49
C00331,128214.01,44225357.93,78.71
C00401,127063.34,44352421.27,78.94
C00282,125980.45,44478401.72,79.17
C00491,125834.19,44604235.91,79.39
C00124,125458.35,44729694.27,79.61
C00074,124304.11,44853998.37,79.83
C00384,122389.19,44976387.56,80.05
C00321,121559.48,45097947.05,80.27
C00438,121040.78,45218987.83,80.48
C00309,120563.36,45339551.19,80.7
C00162,120561.55,45460112.75,80.91
C00087,119152.33,45579265.07,81.12
C00197,117116.99,45696382.06,81.33
C00011,116512.51,45812894.57,81.54
C00196,116406.36,45929300.93,81.75
C00329,116321.05,46045621.97,81.95
C00083,113947.18,46159569.15,82.16
C00500,113278.5,46272847.65,82.36
C00244,112741.7,46385589.35,82.56
C00228,112444.1,46498033.45,82.76
C00397,112215.61,46610249.06,82.96
C00100,110140.8,46720389.86,83.16
C00178,109481.84,46829871.7,83.35
C00385,109301.91,46939173.62,83.55
C00093,108342.31,47047515.93,83.74
C00018,108032.85,47155548.78,83.93
C00406,107769.71,47263318.49,84.12
C00258,107702.03,47371020.52,84.31
C00365,106003.92,47477024.44,84.5
C00408,105925.98,47582950.42,84.69
C00300,104011.62,47686962.05,84.88
C00324,103987.8,47790949.85,85.06
C00435,103987.1,47894936.95,85.25
C00082,103263.77,47998200.73,85.43
C00449,103195.73,48101396.46,85.61
C00291,102462.79,48203859.24,85.8
C00198,101777.34,48305636.59,85.98
C00107,101375.37,48407011.96,86.16
C00102,101104.17,48508116.13,86.34
C00202,100476.39,48608592.52,86.52
C00174,99413.55,48708006.08,86.69
C00029,99389.29,48807395.37,86.87
C00101,98684.96,48906080.33,87.05
C00232,97513.46,49003593.79,87.22
C00450,96910.17,49100503.96,87.39
C00023,95683.38,49196187.34,87.56
C00475,95562.38,49291749.72,87.73
C00486,95204.3,49386954.02,87.9
C00212,94809.13,49481763.15,88.07
C00117,94491.44,49576254.59,88.24
C00302,94340.26,49670594.84,88.41
C00176,93198.78,49763793.63,88.57
C00381,93178.02,49856971.65,88.74
C00200,92431.35,49949403.0,88.9
C00024,90422.95,50039825.95,89.06
C00204,90329.2,50130155.16,89.22
C00464,89991.91,50220147.07,89.38
C00219,89178.23,50309325.3,89.54
C00056,88885.38,50398210.68,89.7
C00436,88627.71,50486838.39,89.86
C00327,88397.72,50575236.11,90.02
C00403,86816.98,50662053.09,90.17
C00262,86527.57,50748580.66,90.33
C00076,85782.49,50834363.15,90.48
C00213,84158.2,50918521.35,90.63
C00322,83978.91,51002500.26,90.78
C00359,83860.54,51086360.8,90.93
C00269,83777.75,51170138.56,91.08
C00238,83131.29,51253269.84,91.22
C00149,80892.13,51334161.97,91.37
C00095,78610.82,51412772.79,91.51
C00345,78297.19,51491069.98,91.65
C00390,78228.14,51569298.12,91.79
C00031,78166.6,51647464.71,91.93
C00267,77680.59,51725145.3,92.06
C00127,76913.7,51802059.0,92.2
C00008,76705.83,51878764.83,92.34
C00125,76547.92,51955312.75,92.47
C00007,76420.72,52031733.47,92.61
C00275,75982.03,52107715.5,92.74
C00433,75903.44,52183618.94,92.88
C00440,75332.95,52258951.9,93.01
C00432,75029.53,52333981.43,93.15
C00460,74452.27,52408433.69,93.28
C00412,73689.52,52482123.21,93.41
C00400,73667.53,52555790.74,93.54
C00307,73058.1,52628848.84,93.67
C00063,71808.34,52700657.18,93.8
C00211,70908.95,52771566.13,93.93
C00057,68826.11,52840392.24,94.05
C00351,68200.96,52908593.2,94.17
C00332,67647.52,52976240.72,94.29
C00446,64394.34,53040635.06,94.4
C00075,64089.15,53104724.22,94.52
C00115,62507.57,53167231.79,94.63
C00053,62288.9,53229520.69,94.74
C00042,62244.26,53291764.95,94.85
C00020,60813.69,53352578.64,94.96
C00016,60421.32,53412999.96,95.07
C00027,60241.61,53473241.58,95.17
C00402,60164.8,53533406.38,95.28
C00026,59900.24,53593306.62,95.39
C00069,59793.62,53653100.24,95.5
C00182,59385.32,53712485.56,95.6
C00131,59310.2,53771795.76,95.71
C00137,59165.87,53830961.63,95.81
C00487,58448.07,53889409.7,95.92
C00387,58353.12,53947762.82,96.02
C00353,57994.52,54005757.33,96.12
C00289,57847.0,54063604.33,96.23
C00005,56856.56,54120460.89,96.33
C00461,56473.62,54176934.51,96.43
C00445,55381.41,54232315.92,96.53
C00044,55330.16,54287646.08,96.62
C00080,54853.44,54342499.52,96.72
C00071,54465.74,54396965.27,96.82
C00050,54332.57,54451297.83,96.92
C00146,54186.98,54505484.81,97.01
C00164,53382.02,54558866.83,97.11
C00121,51595.51,54610462.34,97.2
C00108,51460.51,54661922.85,97.29
C00419,51157.0,54713079.85,97.38
C00477,50753.31,54763833.16,97.47
C00296,49982.36,54813815.52,97.56
C00122,49960.25,54863775.77,97.65
C00065,49310.57,54913086.34,97.74
C00022,48182.88,54961269.21,97.82
C00001,47199.76,55008468.97,97.91
C00254,47111.21,55055580.18,97.99
C00398,43691.61,55099271.78,98.07
C00294,43312.53,55142584.31,98.15
C00369,43246.27,55185830.58,98.22
C00479,42765.73,55228596.31,98.3
C00423,42633.89,55271230.2,98.38
C00325,40675.97,55311906.18,98.45
C00499,39856.6,55351762.78,98.52
C00222,37698.46,55389461.24,98.59
C00496,36727.45,55426188.69,98.65
C00175,36190.64,55462379.33,98.72
C00159,36079.43,55498458.76,98.78
C00361,35933.82,55534392.58,98.84
C00239,35919.15,55570311.74,98.91
C00216,35414.23,55605725.96,98.97
C00257,34945.49,55640671.46,99.03
C00284,34510.71,55675182.17,99.09
C00453,33694.41,55708876.58,99.15
C00319,31254.69,55740131.27,99.21
C00474,30683.96,55770815.22,99.26
C00041,29827.52,55800642.75,99.32
C00072,29784.9,55830427.64,99.37
C00273,29288.15,55859715.79,99.42
C00293,28166.72,55887882.51,99.47
C00043,27469.85,55915352.36,99.52
C00191,27235.86,55942588.22,99.57
C00357,27234.3,55969822.52,99.62
C00123,23016.03,55992838.55,99.66
C00395,21773.38,56014611.93,99.7
C00328,21142.51,56035754.44,99.74
C00281,20763.94,56056518.38,99.77
C00235,20688.83,56077207.21,99.81
C00152,18743.71,56095950.93,99.84
C00343,18497.97,56114448.9,99.88
C00476,17135.21,56131584.11,99.91
C00210,17114.03,56148698.14,99.94
C00133,16986.79,56165684.93,99.97
C00338,15874.69,56181559.62,100.0
C00456,15126.79,56196686.41,100.02
C00407,14873.55,56211559.95,100.05
C00379,13442.72,56225002.67,100.07
C00193,13414.09,56238416.76,100.1
C00173,13119.4,56251536.17,100.12
C00034,12226.08,56263762.24,100.14
C00482,11402.03,56275164.27,100.16
C00048,10040.14,56285204.41,100.18
C00270,9911.22,56295115.63,100.2
C00335,8974.3,56304089.94,100.21
C00259,6712.7,56310802.64,100.23
C00313,6526.18,56317328.82,100.24
C00336,5524.11,56322852.93,100.25
C00128,5508.87,56328361.8,100.26
C00091,5472.68,56333834.47,100.27
C00179,5467.26,56339301.73,100.28
C00205,5347.15,56344648.88,100.29
C00014,3438.33,56348087.21,100.29
C00039,3208.44,56351295.65,100.3
C00225,2186.62,56353482.27,100.3
C00187,1545.88,56355028.15,100.3
C00473,1457.11,56356485.26,100.31
C00434,-12176.13,56344309.13,100.29
C00452,-25283.75,56319025.39,100.24
C00145,-30802.65,56288222.73,100.19
C00315,-32620.29,56255602.44,100.13
C00377,-34343.07,56221259.37,100.07
C00004,-37100.73,56184158.64,100.0
