customer_id,order_date,previous_order_date,days_gap,risk_status
C00030,2024-05-05 14:01:05,,,Active
C00031,2023-07-20 13:54:59,,,Active
C00032,2023-10-14 18:48:48,,,At Risk
C00032,2024-06-20 09:37:15,2023-10-14 18:48:48,249.6,At Risk
C00033,2023-07-24 08:23:25,,,Active
C00034,2023-05-18 12:58:36,,,Active
C00037,2023-10-26 22:40:10,,,Active
C00039,2024-07-16 00:12:12,,,Active
C00041,2023-11-26 22:56:25,,,Active
C00042,2024-10-15 20:09:31,,,Active
C00043,2023-03-16 12:45:27,,,At Risk
C00043,2024-01-05 14:34:25,2023-03-16 12:45:27,295.1,At Risk
C00044,2023-09-20 18:26:12,,,Active
C00045,2023-04-08 03:50:13,,,At Risk
C00045,2024-01-22 01:45:58,2023-04-08 03:50:13,288.9,At Risk
C00046,2023-07-10 11:26:34,,,At Risk
C00046,2023-10-13 18:31:43,2023-07-10 11:26:34,95.3,At Risk
C00046,2024-07-02 22:36:42,2023-10-13 18:31:43,263.2,At Risk
C00047,2023-06-22 11:58:34,,,At Risk
C00047,2023-07-14 05:52:18,2023-06-22 11:58:34,21.7,At Risk
C00047,2024-08-10 14:00:27,2023-07-14 05:52:18,393.3,At Risk
C00048,2024-08-19 22:06:06,,,Active
C00049,2024-10-23 04:22:25,,,Active
C00050,2023-12-21 07:53:49,,,Active
C00053,2023-10-25 21:53:56,,,Active
C00055,2023-03-30 16:27:48,,,At Risk
C00055,2023-05-01 05:16:54,2023-03-30 16:27:48,31.5,At Risk
C00056,2023-04-05 21:47:16,,,Active
C00057,2023-05-03 14:01:24,,,At Risk
C00057,2023-09-11 07:32:43,2023-05-03 14:01:24,130.7,At Risk
C00057,2024-03-17 20:13:47,2023-09-11 07:32:43,188.5,At Risk
C00058,2023-09-03 19:48:00,,,At Risk
C00058,2024-07-22 06:46:04,2023-09-03 19:48:00,322.5,At Risk
C00059,2023-03-17 16:21:27,,,At Risk
C00059,2023-04-27 11:29:56,2023-03-17 16:21:27,40.8,At Risk
C00059,2023-09-20 05:12:47,2023-04-27 11:29:56,145.7,At Risk
C00059,2024-05-19 02:57:09,2023-09-20 05:12:47,241.9,At Risk
C00060,2023-02-01 23:07:07,,,At Risk
C00060,2024-01-20 07:31:54,2023-02-01 23:07:07,352.4,At Risk
C00060,2024-09-15 15:55:41,2024-01-20 07:31:54,239.3,At Risk
C00061,2023-03-14 09:11:12,,,At Risk
C00061,2023-10-16 12:39:12,2023-03-14 09:11:12,216.1,At Risk
C00061,2024-02-08 00:00:00,2023-10-16 12:39:12,114.5,At Risk
C00062,2024-06-26 08:13:19,,,Active
C00063,2024-08-19 15:16:23,,,Active
C00064,2023-03-12 19:55:40,,,At Risk
C00064,2024-05-15 03:25:49,2023-03-12 19:55:40,429.3,At Risk
C00065,2023-08-25 14:23:41,,,Active
C00066,2023-01-25 22:17:11,,,At Risk
C00066,2024-06-15 12:32:10,2023-01-25 22:17:11,506.6,At Risk
C00067,2023-01-12 03:47:12,,,At Risk
C00067,2023-05-15 14:22:49,2023-01-12 03:47:12,123.4,At Risk
C00067,2024-04-22 03:11:42,2023-05-15 14:22:49,342.5,At Risk
C00068,2023-06-09 08:57:53,,,At Risk
C00068,2023-06-10 14:14:05,2023-06-09 08:57:53,1.2,At Risk
C00068,2023-10-06 09:09:58,2023-06-10 14:14:05,117.8,At Risk
C00068,2024-11-24 00:17:49,2023-10-06 09:09:58,414.6,At Risk
C00068,2024-11-28 17:11:19,2024-11-24 00:17:49,4.7,At Risk
C00069,2023-07-17 16:33:35,,,Active
C00069,2023-07-22 11:25:30,2023-07-17 16:33:35,4.8,Active
C00070,2023-01-03 09:20:13,,,At Risk
C00070,2023-01-23 15:14:37,2023-01-03 09:20:13,20.2,At Risk
C00070,2023-12-22 12:53:44,2023-01-23 15:14:37,332.9,At Risk
C00071,2023-05-08 05:11:57,,,Active
C00072,2024-11-20 03:45:13,,,Active
C00074,2024-01-28 20:31:56,,,At Risk
C00074,2024-08-20 16:10:22,2024-01-28 20:31:56,204.8,At Risk
C00075,2023-01-23 08:22:11,,,At Risk
C00075,2024-07-18 00:00:00,2023-01-23 08:22:11,541.7,At Risk
C00076,2023-10-17 15:38:17,,,At Risk
C00076,2024-06-27 22:26:46,2023-10-17 15:38:17,254.3,At Risk
C00077,2023-02-12 09:12:20,,,At Risk
C00077,2023-08-06 20:09:13,2023-02-12 09:12:20,175.5,At Risk
C00078,2024-03-07 14:31:38,,,At Risk
C00078,2024-08-02 18:31:45,2024-03-07 14:31:38,148.2,At Risk
C00079,2023-11-28 05:53:01,,,At Risk
C00079,2024-03-15 06:39:12,2023-11-28 05:53:01,108.0,At Risk
C00079,2024-07-27 19:52:45,2024-03-15 06:39:12,134.6,At Risk
C00080,2024-01-26 23:44:14,,,Active
C00081,2023-01-13 03:22:13,,,At Risk
C00081,2023-08-01 12:57:40,2023-01-13 03:22:13,200.4,At Risk
C00081,2024-01-28 16:27:45,2023-08-01 12:57:40,180.1,At Risk
C00081,2024-07-19 17:24:52,2024-01-28 16:27:45,173.0,At Risk
C00082,2023-11-20 01:31:13,,,At Risk
C00082,2024-01-10 16:06:55,2023-11-20 01:31:13,51.6,At Risk
C00082,2024-06-04 12:21:50,2024-01-10 16:06:55,145.8,At Risk
C00083,2024-06-06 00:40:29,,,Active
C00085,2024-01-17 17:50:38,,,Active
C00087,2023-04-06 15:54:20,,,At Risk
C00087,2024-06-24 19:53:39,2023-04-06 15:54:20,445.2,At Risk
C00088,2023-01-23 00:00:00,,,At Risk
C00088,2023-09-13 06:40:54,2023-01-23 00:00:00,233.3,At Risk
C00088,2024-05-24 09:00:58,2023-09-13 06:40:54,254.1,At Risk
C00091,2024-03-06 00:00:00,,,Active
C00093,2023-04-02 07:21:53,,,At Risk
C00093,2024-11-17 08:41:05,2023-04-02 07:21:53,595.1,At Risk
C00095,2023-06-09 08:22:23,,,Active
C00096,2023-06-04 11:18:08,,,At Risk
C00096,2024-02-27 05:49:17,2023-06-04 11:18:08,267.8,At Risk
C00097,2023-03-24 22:21:49,,,At Risk
C00097,2023-05-09 01:39:04,2023-03-24 22:21:49,45.1,At Risk
C00097,2024-10-29 00:00:00,2023-05-09 01:39:04,538.9,At Risk
C00098,2023-09-07 02:59:47,,,At Risk
C00098,2024-02-12 01:22:06,2023-09-07 02:59:47,157.9,At Risk
C00099,2024-02-13 16:55:48,,,At Risk
C00099,2024-10-01 02:54:00,2024-02-13 16:55:48,230.4,At Risk
C00100,2023-03-31 00:43:08,,,Active
C00101,2023-06-09 17:48:41,,,Active
C00102,2023-03-07 13:18:37,,,At Risk
C00102,2024-01-14 22:23:24,2023-03-07 13:18:37,313.4,At Risk
C00103,2024-08-27 06:12:19,,,Active
C00104,2023-08-17 00:24:34,,,At Risk
C00104,2023-11-28 01:09:27,2023-08-17 00:24:34,103.0,At Risk
C00104,2023-12-08 01:34:29,2023-11-28 01:09:27,10.0,At Risk
C00106,2023-07-10 12:28:31,,,At Risk
C00106,2024-02-26 09:28:05,2023-07-10 12:28:31,230.9,At Risk
C00107,2024-01-03 06:06:25,,,Active
C00108,2024-04-20 00:00:00,,,Active
C00110,2024-05-30 05:27:03,,,Active
C00111,2024-02-08 11:54:26,,,At Risk
C00111,2024-04-04 11:52:00,2024-02-08 11:54:26,56.0,At Risk
C00112,2023-04-23 01:32:06,,,Active
C00113,2023-07-24 06:18:27,,,At Risk
C00113,2024-06-09 18:34:20,2023-07-24 06:18:27,321.5,At Risk
C00115,2024-06-04 06:48:13,,,Active
C00116,2023-05-25 07:23:45,,,At Risk
C00116,2024-04-30 02:52:16,2023-05-25 07:23:45,340.8,At Risk
C00117,2023-04-04 17:47:16,,,At Risk
C00117,2023-09-01 11:43:45,2023-04-04 17:47:16,149.7,At Risk
C00120,2023-03-12 01:23:37,,,At Risk
C00120,2023-09-30 02:45:27,2023-03-12 01:23:37,202.1,At Risk
C00121,2024-05-06 14:16:41,,,Active
C00121,2024-05-29 04:59:41,2024-05-06 14:16:41,22.6,Active
C00122,2024-05-28 03:43:51,,,At Risk
C00122,2024-07-07 03:03:55,2024-05-28 03:43:51,40.0,At Risk
C00123,2024-08-07 04:47:20,,,Active
C00124,2023-03-06 12:56:17,,,At Risk
C00124,2024-11-08 21:05:57,2023-03-06 12:56:17,613.3,At Risk
C00125,2024-08-11 08:19:31,,,Active
C00127,2024-07-26 21:44:03,,,Active
C00128,2023-10-15 02:32:48,,,Active
C00129,2023-03-18 06:37:31,,,Active
C00130,2023-01-10 11:34:09,,,Active
C00131,2023-01-05 09:13:58,,,At Risk
C00131,2024-11-01 05:37:14,2023-01-05 09:13:58,665.8,At Risk
C00132,2024-09-21 23:31:10,,,Active
C00133,2023-05-26 08:46:27,,,At Risk
C00133,2024-05-01 23:55:55,2023-05-26 08:46:27,341.6,At Risk
C00137,2024-01-27 03:09:00,,,Active
C00137,2024-02-15 00:00:00,2024-01-27 03:09:00,18.9,Active
C00138,2024-04-06 12:46:12,,,Active
C00139,2024-04-28 17:47:31,,,Active
C00145,2024-08-19 11:28:02,,,At Risk
C00145,2024-12-02 05:16:30,2024-08-19 11:28:02,104.7,At Risk
C00146,2023-05-21 07:39:09,,,Active
C00147,2023-04-22 20:59:35,,,At Risk
C00147,2023-08-03 21:07:16,2023-04-22 20:59:35,103.0,At Risk
C00147,2024-05-16 19:06:28,2023-08-03 21:07:16,286.9,At Risk
C00149,2023-03-27 17:11:29,,,Active
C00149,2023-04-14 23:43:39,2023-03-27 17:11:29,18.3,Active
C00152,2023-07-25 03:38:50,,,At Risk
C00152,2024-09-28 11:04:08,2023-07-25 03:38:50,431.3,At Risk
C00153,2023-08-14 21:25:22,,,At Risk
C00153,2023-09-15 04:21:28,2023-08-14 21:25:22,31.3,At Risk
C00154,2023-01-30 00:39:25,,,At Risk
C00154,2024-03-14 19:17:38,2023-01-30 00:39:25,409.8,At Risk
C00154,2024-05-12 12:48:52,2024-03-14 19:17:38,58.7,At Risk
C00155,2023-05-16 22:28:26,,,At Risk
C00155,2024-01-17 00:31:56,2023-05-16 22:28:26,245.1,At Risk
C00156,2023-12-11 02:12:07,,,At Risk
C00156,2024-04-25 09:39:50,2023-12-11 02:12:07,136.3,At Risk
C00156,2024-07-18 07:06:50,2024-04-25 09:39:50,83.9,At Risk
C00157,2024-11-21 13:13:39,,,Active
C00159,2024-03-15 10:36:17,,,At Risk
C00159,2024-06-18 19:10:06,2024-03-15 10:36:17,95.4,At Risk
C00160,2023-09-16 03:07:09,,,At Risk
C00160,2024-06-20 18:07:07,2023-09-16 03:07:09,278.6,At Risk
C00160,2024-12-25 00:00:00,2024-06-20 18:07:07,187.2,At Risk
C00161,2023-01-10 14:24:39,,,At Risk
C00161,2023-04-07 00:21:29,2023-01-10 14:24:39,86.4,At Risk
C00161,2023-07-11 05:02:13,2023-04-07 00:21:29,95.2,At Risk
C00161,2024-12-07 05:17:29,2023-07-11 05:02:13,515.0,At Risk
C00162,2024-09-01 23:40:01,,,Active
C00163,2023-10-24 17:12:03,,,At Risk
C00163,2024-01-13 09:06:35,2023-10-24 17:12:03,80.7,At Risk
C00163,2024-02-13 02:04:26,2024-01-13 09:06:35,30.7,At Risk
C00163,2024-03-09 16:24:23,2024-02-13 02:04:26,25.6,At Risk
C00164,2023-12-25 02:28:56,,,Active
C00166,2023-07-20 08:14:37,,,At Risk
C00166,2023-11-15 07:18:36,2023-07-20 08:14:37,118.0,At Risk
C00166,2023-12-17 00:00:00,2023-11-15 07:18:36,31.7,At Risk
C00166,2024-03-20 16:53:38,2023-12-17 00:00:00,94.7,At Risk
C00167,2023-11-22 11:57:41,,,At Risk
C00167,2024-11-04 05:51:19,2023-11-22 11:57:41,347.7,At Risk
C00170,2024-05-17 17:30:06,,,Active
C00173,2023-08-01 07:53:30,,,Active
C00174,2024-02-24 21:05:15,,,Active
C00175,2024-12-18 09:50:14,,,Active
C00176,2023-10-12 05:19:14,,,Active
C00177,2023-10-05 13:47:11,,,Active
C00178,2023-12-13 03:50:22,,,At Risk
C00178,2024-01-10 02:38:17,2023-12-13 03:50:22,27.9,At Risk
C00178,2024-09-10 00:01:25,2024-01-10 02:38:17,243.9,At Risk
C00179,2023-10-01 13:32:41,,,Active
C00180,2023-06-20 10:13:00,,,At Risk
C00180,2023-08-28 07:07:37,2023-06-20 10:13:00,68.9,At Risk
C00180,2024-04-23 15:11:30,2023-08-28 07:07:37,239.3,At Risk
C00181,2023-11-23 21:35:43,,,At Risk
C00181,2024-06-04 03:24:19,2023-11-23 21:35:43,193.2,At Risk
C00181,2024-09-26 18:23:50,2024-06-04 03:24:19,114.6,At Risk
C00182,2023-07-17 22:56:18,,,At Risk
C00182,2023-10-22 20:32:15,2023-07-17 22:56:18,96.9,At Risk
C00183,2023-05-02 03:58:05,,,Active
C00184,2023-03-03 17:31:45,,,At Risk
C00184,2023-09-16 23:46:00,2023-03-03 17:31:45,197.3,At Risk
C00184,2024-08-24 18:42:10,2023-09-16 23:46:00,342.8,At Risk
C00184,2024-11-15 05:16:48,2024-08-24 18:42:10,82.4,At Risk
C00185,2023-04-15 07:38:31,,,At Risk
C00185,2023-11-22 20:18:28,2023-04-15 07:38:31,221.5,At Risk
C00187,2024-10-03 00:00:00,,,Active
C00190,2024-11-10 00:00:00,,,Active
C00191,2023-08-12 19:26:10,,,At Risk
C00191,2023-10-11 13:32:48,2023-08-12 19:26:10,59.8,At Risk
C00193,2024-11-23 08:15:02,,,Active
C00194,2023-10-27 09:31:49,,,At Risk
C00194,2024-03-03 11:11:27,2023-10-27 09:31:49,128.1,At Risk
C00195,2023-04-06 23:58:44,,,At Risk
C00195,2023-09-12 07:19:55,2023-04-06 23:58:44,158.3,At Risk
C00196,2024-04-14 14:15:40,,,Active
C00197,2024-10-17 00:46:01,,,Active
C00198,2023-03-31 09:16:20,,,At Risk
C00198,2023-08-09 06:54:01,2023-03-31 09:16:20,130.9,At Risk
C00200,2024-11-27 07:14:19,,,Active
C00201,2023-02-09 13:15:29,,,At Risk
C00201,2023-05-23 09:56:56,2023-02-09 13:15:29,102.9,At Risk
C00201,2024-09-10 20:52:38,2023-05-23 09:56:56,476.5,At Risk
C00202,2024-08-12 00:00:00,,,Active
C00203,2023-07-30 16:25:51,,,At Risk
C00203,2023-11-08 04:10:40,2023-07-30 16:25:51,100.5,At Risk
C00203,2024-07-25 00:00:00,2023-11-08 04:10:40,259.8,At Risk
C00203,2024-09-04 22:42:22,2024-07-25 00:00:00,41.9,At Risk
C00204,2023-03-22 00:13:58,,,Active
C00205,2024-01-25 18:39:39,,,At Risk
C00205,2024-06-07 06:38:21,2024-01-25 18:39:39,133.5,At Risk
C00208,2023-12-03 08:10:18,,,Active
C00209,2023-08-14 16:58:39,,,At Risk
C00209,2024-01-29 04:57:43,2023-08-14 16:58:39,167.5,At Risk
C00209,2024-06-11 02:10:50,2024-01-29 04:57:43,133.9,At Risk
C00209,2024-11-27 13:03:53,2024-06-11 02:10:50,169.5,At Risk
C00210,2023-03-27 16:48:54,,,At Risk
C00210,2023-08-18 09:44:43,2023-03-27 16:48:54,143.7,At Risk
C00210,2024-05-11 04:12:24,2023-08-18 09:44:43,266.8,At Risk
C00210,2024-11-28 13:08:59,2024-05-11 04:12:24,201.4,At Risk
C00211,2023-01-18 10:25:28,,,Active
C00212,2023-07-21 19:09:15,,,At Risk
C00212,2024-03-04 19:58:55,2023-07-21 19:09:15,227.0,At Risk
C00212,2024-08-16 13:25:44,2024-03-04 19:58:55,164.7,At Risk
C00213,2023-11-18 00:00:00,,,Active
C00215,2023-11-09 05:52:32,,,Active
C00216,2023-10-02 02:48:13,,,Active
C00217,2023-08-17 16:22:53,,,At Risk
C00217,2024-03-14 14:12:58,2023-08-17 16:22:53,209.9,At Risk
C00217,2024-03-23 16:56:14,2024-03-14 14:12:58,9.1,At Risk
C00217,2024-12-08 23:27:21,2024-03-23 16:56:14,260.3,At Risk
C00218,2023-11-17 19:14:23,,,At Risk
C00218,2024-10-11 01:55:34,2023-11-17 19:14:23,328.3,At Risk
C00219,2023-03-14 00:00:00,,,Active
C00222,2024-04-19 04:16:32,,,At Risk
C00222,2024-05-30 07:43:45,2024-04-19 04:16:32,41.1,At Risk
C00223,2023-07-15 06:05:45,,,At Risk
C00223,2024-02-28 09:45:02,2023-07-15 06:05:45,228.2,At Risk
C00223,2024-03-16 13:34:58,2024-02-28 09:45:02,17.2,At Risk
C00223,2024-08-23 16:27:45,2024-03-16 13:34:58,160.1,At Risk
C00224,2023-04-23 13:54:04,,,At Risk
C00224,2024-10-16 01:41:23,2023-04-23 13:54:04,541.5,At Risk
C00224,2024-11-24 08:36:31,2024-10-16 01:41:23,39.3,At Risk
C00225,2024-09-12 14:11:42,,,Active
C00226,2023-11-06 04:00:04,,,Active
C00227,2023-03-03 16:12:53,,,At Risk
C00227,2023-04-24 01:53:17,2023-03-03 16:12:53,51.4,At Risk
C00227,2024-12-26 02:04:24,2023-04-24 01:53:17,612.0,At Risk
C00228,2024-01-29 00:00:00,,,Active
C00229,2023-03-02 15:22:49,,,Active
C00232,2023-12-14 14:00:02,,,Active
C00232,2023-12-21 21:14:28,2023-12-14 14:00:02,7.3,Active
C00232,2024-01-13 15:55:35,2023-12-21 21:14:28,22.8,Active
C00235,2024-06-29 16:29:20,,,Active
C00237,2024-08-31 22:36:53,,,Active
C00238,2023-11-06 17:08:30,,,At Risk
C00238,2024-05-05 15:58:07,2023-11-06 17:08:30,181.0,At Risk
C00238,2024-08-21 08:00:57,2024-05-05 15:58:07,107.7,At Risk
C00238,2024-10-06 14:20:10,2024-08-21 08:00:57,46.3,At Risk
C00239,2023-12-23 04:31:50,,,Active
C00240,2023-12-05 23:38:32,,,At Risk
C00240,2024-11-07 10:43:13,2023-12-05 23:38:32,337.5,At Risk
C00241,2023-05-22 01:20:20,,,At Risk
C00241,2024-07-07 00:59:54,2023-05-22 01:20:20,412.0,At Risk
C00244,2023-09-01 19:00:45,,,At Risk
C00244,2023-10-12 15:21:57,2023-09-01 19:00:45,40.8,At Risk
C00244,2024-03-12 17:12:01,2023-10-12 15:21:57,152.1,At Risk
C00244,2024-06-18 16:49:40,2024-03-12 17:12:01,98.0,At Risk
C00247,2023-08-01 06:44:09,,,At Risk
C00247,2023-09-14 18:53:53,2023-08-01 06:44:09,44.5,At Risk
C00247,2024-06-08 11:11:19,2023-09-14 18:53:53,267.7,At Risk
C00247,2024-09-05 06:22:58,2024-06-08 11:11:19,88.8,At Risk
C00248,2023-01-23 10:51:18,,,At Risk
C00248,2023-07-17 02:45:29,2023-01-23 10:51:18,174.7,At Risk
C00248,2024-07-16 09:43:12,2023-07-17 02:45:29,365.3,At Risk
C00249,2023-05-29 19:59:35,,,At Risk
C00249,2024-02-04 22:30:03,2023-05-29 19:59:35,251.1,At Risk
C00249,2024-07-02 20:27:46,2024-02-04 22:30:03,148.9,At Risk
C00250,2023-03-29 17:18:25,,,At Risk
C00250,2024-08-24 18:16:54,2023-03-29 17:18:25,514.0,At Risk
C00251,2023-12-12 23:38:54,,,Active
C00252,2023-02-02 19:16:42,,,At Risk
C00252,2023-05-23 00:58:42,2023-02-02 19:16:42,109.2,At Risk
C00252,2023-05-26 20:38:56,2023-05-23 00:58:42,3.8,At Risk
C00252,2023-09-07 01:02:51,2023-05-26 20:38:56,103.2,At Risk
C00252,2024-06-06 00:46:04,2023-09-07 01:02:51,273.0,At Risk
C00252,2024-08-09 19:01:54,2024-06-06 00:46:04,64.8,At Risk
C00252,2024-09-14 05:35:39,2024-08-09 19:01:54,35.4,At Risk
C00252,2024-12-05 07:51:01,2024-09-14 05:35:39,82.1,At Risk
C00253,2023-02-21 19:50:27,,,At Risk
C00253,2024-12-23 14:33:04,2023-02-21 19:50:27,670.8,At Risk
C00254,2023-10-24 18:21:59,,,Active
C00255,2024-08-01 20:15:40,,,Active
C00256,2023-03-12 23:50:54,,,At Risk
C00256,2024-02-19 17:21:49,2023-03-12 23:50:54,343.7,At Risk
C00256,2024-11-08 01:17:04,2024-02-19 17:21:49,262.3,At Risk
C00257,2023-08-03 06:44:37,,,Active
C00258,2024-09-22 06:39:29,,,Active
C00259,2024-06-15 13:32:27,,,Active
C00260,2023-06-20 15:32:54,,,At Risk
C00260,2023-10-22 09:53:03,2023-06-20 15:32:54,123.8,At Risk
C00260,2024-03-03 04:37:25,2023-10-22 09:53:03,132.8,At Risk
C00261,2023-12-13 01:46:57,,,At Risk
C00261,2024-07-05 05:33:29,2023-12-13 01:46:57,205.2,At Risk
C00262,2024-02-05 15:27:46,,,Active
C00262,2024-03-04 14:02:01,2024-02-05 15:27:46,27.9,Active
C00262,2024-03-08 02:36:50,2024-03-04 14:02:01,3.5,Active
C00263,2024-11-01 12:33:00,,,Active
C00264,2023-12-19 00:47:36,,,At Risk
C00264,2024-07-03 14:43:31,2023-12-19 00:47:36,197.6,At Risk
C00265,2024-02-21 00:00:00,,,At Risk
C00265,2024-11-01 02:04:35,2024-02-21 00:00:00,254.1,At Risk
C00267,2023-12-16 17:59:20,,,At Risk
C00267,2024-05-15 17:33:27,2023-12-16 17:59:20,151.0,At Risk
C00268,2023-03-24 00:00:00,,,At Risk
C00268,2023-12-16 20:25:16,2023-03-24 00:00:00,267.9,At Risk
C00269,2023-03-07 05:18:58,,,At Risk
C00269,2023-09-18 12:37:16,2023-03-07 05:18:58,195.3,At Risk
C00270,2024-04-29 15:39:10,,,Active
C00272,2023-03-16 07:40:34,,,At Risk
C00272,2023-12-03 06:23:37,2023-03-16 07:40:34,261.9,At Risk
C00272,2024-05-11 06:49:35,2023-12-03 06:23:37,160.0,At Risk
C00273,2023-12-25 01:11:38,,,At Risk
C00273,2024-09-20 05:17:09,2023-12-25 01:11:38,270.2,At Risk
C00275,2023-06-16 06:44:32,,,Active
C00276,2023-05-16 13:38:22,,,Active
C00276,2023-06-14 13:38:31,2023-05-16 13:38:22,29.0,Active
C00277,2023-01-26 07:00:42,,,At Risk
C00277,2024-07-16 07:53:00,2023-01-26 07:00:42,537.0,At Risk
C00277,2024-08-20 01:44:35,2024-07-16 07:53:00,34.7,At Risk
C00277,2024-09-11 21:37:46,2024-08-20 01:44:35,22.8,At Risk
C00281,2024-04-12 19:31:40,,,Active
C00282,2023-11-08 21:34:05,,,At Risk
C00282,2024-05-14 16:18:14,2023-11-08 21:34:05,187.8,At Risk
C00284,2024-12-27 11:24:36,,,Active
C00285,2023-12-02 17:08:29,,,Active
C00286,2023-02-15 00:00:00,,,At Risk
C00286,2023-11-19 11:36:06,2023-02-15 00:00:00,277.5,At Risk
C00286,2024-02-18 23:07:23,2023-11-19 11:36:06,91.5,At Risk
C00286,2024-12-24 18:50:30,2024-02-18 23:07:23,309.8,At Risk
C00287,2023-12-05 18:06:24,,,At Risk
C00287,2024-07-28 15:54:57,2023-12-05 18:06:24,235.9,At Risk
C00287,2024-12-11 17:00:12,2024-07-28 15:54:57,136.0,At Risk
C00288,2023-05-18 19:20:05,,,At Risk
C00288,2023-12-06 12:15:11,2023-05-18 19:20:05,201.7,At Risk
C00288,2024-07-04 23:00:09,2023-12-06 12:15:11,211.4,At Risk
C00289,2024-02-28 19:12:37,,,Active
C00291,2024-08-09 14:45:49,,,Active
C00292,2023-02-07 01:43:10,,,At Risk
C00292,2023-02-23 01:53:41,2023-02-07 01:43:10,16.0,At Risk
C00292,2023-05-16 00:47:43,2023-02-23 01:53:41,82.0,At Risk
C00293,2023-05-21 06:02:50,,,Active
C00294,2024-07-26 00:00:00,,,Active
C00295,2023-07-14 06:58:31,,,At Risk
C00295,2024-06-16 20:11:20,2023-07-14 06:58:31,338.6,At Risk
C00295,2024-09-30 04:05:39,2024-06-16 20:11:20,105.3,At Risk
C00296,2024-03-05 08:06:42,,,Active
C00297,2023-06-30 23:10:02,,,At Risk
C00297,2023-10-01 02:50:47,2023-06-30 23:10:02,92.2,At Risk
C00298,2024-03-15 07:29:47,,,Active
C00299,2023-01-07 07:21:13,,,Active
C00299,2023-01-21 21:26:57,2023-01-07 07:21:13,14.6,Active
C00300,2024-07-26 15:04:54,,,Active
C00301,2024-04-09 10:19:46,,,Active
C00302,2024-01-27 14:55:26,,,Active
C00303,2023-10-21 10:39:34,,,At Risk
C00303,2024-12-22 16:34:56,2023-10-21 10:39:34,428.2,At Risk
C00304,2023-05-15 17:17:54,,,Active
C00305,2024-12-26 09:56:16,,,Active
C00306,2023-01-13 15:53:58,,,At Risk
C00306,2023-05-20 19:27:06,2023-01-13 15:53:58,127.1,At Risk
C00306,2023-06-29 14:10:02,2023-05-20 19:27:06,39.8,At Risk
C00306,2023-12-26 13:14:19,2023-06-29 14:10:02,180.0,At Risk
C00306,2024-11-23 06:35:12,2023-12-26 13:14:19,332.7,At Risk
C00307,2024-08-07 14:00:44,,,At Risk
C00307,2024-12-11 07:01:51,2024-08-07 14:00:44,125.7,At Risk
C00309,2023-04-12 23:21:39,,,At Risk
C00309,2023-06-02 14:26:56,2023-04-12 23:21:39,50.6,At Risk
